countyFIPS,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over,"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
1001,24428,24428,21136,86.5,2108,8.6,26,0.1,153,0.6,330,1.4,675,2.8,25.8,(X)
1003,91420,91420,77051,84.3,6791,7.4,82,0.1,636,0.7,1253,1.4,5607,6.1,27.4,(X)
1005,8538,8538,7118,83.4,927,10.9,22,0.3,182,2.1,178,2.1,111,1.3,22.7,(X)
1007,7946,7946,6747,84.9,842,10.6,37,0.5,44,0.6,68,0.9,208,2.6,29.2,(X)
1009,21148,21148,18225,86.2,2201,10.4,31,0.1,40,0.2,174,0.8,477,2.3,35.1,(X)
1011,3940,3940,3115,79.1,487,12.4,0,0.0,230,5.8,0,0.0,108,2.7,28.6,(X)
1013,7769,7769,6513,83.8,970,12.5,0,0.0,72,0.9,92,1.2,122,1.6,24.0,(X)
1015,47147,47147,39985,84.8,4506,9.6,152,0.3,588,1.2,477,1.0,1439,3.1,25.0,(X)
1017,14396,14396,12273,85.3,1644,11.4,27,0.2,91,0.6,103,0.7,258,1.8,23.6,(X)
1019,9671,9671,8038,83.1,1295,13.4,22,0.2,29,0.3,118,1.2,169,1.7,28.1,(X)
1021,17207,17207,14379,83.6,2150,12.5,0,0.0,77,0.4,172,1.0,429,2.5,33.2,(X)
1023,4128,4128,3391,82.1,535,13.0,0,0.0,60,1.5,66,1.6,76,1.8,32.2,(X)
1025,7529,7529,6647,88.3,695,9.2,11,0.1,49,0.7,53,0.7,74,1.0,24.4,(X)
1027,5427,5427,4879,89.9,300,5.5,0,0.0,40,0.7,31,0.6,177,3.3,29.0,(X)
1029,5355,5355,4357,81.4,771,14.4,1,0.0,40,0.7,8,0.1,178,3.3,33.0,(X)
1031,22274,22274,19289,86.6,1843,8.3,0,0.0,191,0.9,359,1.6,592,2.7,22.3,(X)
1033,22074,22074,19914,90.2,1413,6.4,22,0.1,107,0.5,157,0.7,461,2.1,23.2,(X)
1035,3876,3876,3467,89.4,252,6.5,8,0.2,33,0.9,24,0.6,92,2.4,25.1,(X)
1037,3995,3995,3355,84.0,361,9.0,18,0.5,62,1.6,22,0.6,177,4.4,29.2,(X)
1039,14709,14709,12874,87.5,1184,8.0,7,0.0,153,1.0,255,1.7,236,1.6,25.0,(X)
1041,5561,5561,4545,81.7,603,10.8,30,0.5,97,1.7,50,0.9,236,4.2,27.9,(X)
1043,32668,32668,28607,87.6,3024,9.3,34,0.1,194,0.6,125,0.4,684,2.1,26.4,(X)
1045,20088,20088,17211,85.7,1437,7.2,7,0.0,532,2.6,296,1.5,605,3.0,21.5,(X)
1047,13991,13991,12085,86.4,1284,9.2,0,0.0,203,1.5,216,1.5,203,1.5,22.5,(X)
1049,28264,28264,24212,85.7,2915,10.3,15,0.1,269,1.0,116,0.4,737,2.6,23.7,(X)
1051,33582,33582,29130,86.7,3055,9.1,42,0.1,245,0.7,251,0.7,859,2.6,27.7,(X)
1053,11999,11999,10986,91.6,839,7.0,0,0.0,51,0.4,42,0.4,81,0.7,22.7,(X)
1055,41319,41319,35321,85.5,3637,8.8,86,0.2,346,0.8,283,0.7,1646,4.0,24.0,(X)
1057,6296,6296,5407,85.9,650,10.3,0,0.0,84,1.3,25,0.4,130,2.1,28.5,(X)
1059,12771,12771,10627,83.2,1655,13.0,26,0.2,100,0.8,193,1.5,170,1.3,28.6,(X)
1061,9908,9908,8291,83.7,1118,11.3,3,0.0,61,0.6,264,2.7,171,1.7,27.5,(X)
1063,2204,2204,1812,82.2,262,11.9,0,0.0,17,0.8,31,1.4,82,3.7,31.9,(X)
1065,4990,4990,4411,88.4,355,7.1,6,0.1,8,0.2,54,1.1,156,3.1,30.3,(X)
1067,6834,6834,5959,87.2,482,7.1,0,0.0,42,0.6,203,3.0,148,2.2,26.3,(X)
1069,43707,43707,38637,88.4,3194,7.3,41,0.1,326,0.7,391,0.9,1118,2.6,21.1,(X)
1071,19852,19852,17132,86.3,1755,8.8,8,0.0,295,1.5,123,0.6,539,2.7,25.2,(X)
1073,297470,297470,249038,83.7,29110,9.8,2694,0.9,4133,1.4,3254,1.1,9241,3.1,23.9,(X)
1075,5283,5283,4662,88.2,528,10.0,36,0.7,4,0.1,4,0.1,49,0.9,27.9,(X)
1077,39558,39558,34830,88.0,3022,7.6,13,0.0,667,1.7,283,0.7,743,1.9,23.6,(X)
1079,12388,12388,10805,87.2,1114,9.0,18,0.1,127,1.0,53,0.4,271,2.2,28.2,(X)
1081,72229,72229,60978,84.4,5797,8.0,504,0.7,1328,1.8,813,1.1,2809,3.9,22.2,(X)
1083,39277,39277,34424,87.6,3093,7.9,71,0.2,221,0.6,327,0.8,1141,2.9,26.0,(X)
1085,3360,3360,2873,85.5,358,10.7,12,0.4,15,0.4,71,2.1,31,0.9,32.0,(X)
1087,7144,7144,5977,83.7,551,7.7,37,0.5,424,5.9,78,1.1,77,1.1,23.3,(X)
1089,171047,171047,150637,88.1,10162,5.9,300,0.2,1514,0.9,2185,1.3,6249,3.7,21.4,(X)
1091,6416,6416,5724,89.2,287,4.5,0,0.0,78,1.2,122,1.9,205,3.2,25.5,(X)
1093,11733,11733,10106,86.1,1260,10.7,6,0.1,74,0.6,98,0.8,189,1.6,24.1,(X)
1095,38549,38549,32897,85.3,3712,9.6,197,0.5,497,1.3,178,0.5,1068,2.8,24.6,(X)
1097,172096,172096,148395,86.2,11962,7.0,802,0.5,1940,1.1,1606,0.9,7391,4.3,25.0,(X)
1099,6349,6349,5814,91.6,192,3.0,42,0.7,17,0.3,69,1.1,215,3.4,25.7,(X)
1101,99723,99723,84330,84.6,9031,9.1,546,0.5,1553,1.6,705,0.7,3558,3.6,20.5,(X)
1103,50735,50735,45160,89.0,3588,7.1,198,0.4,390,0.8,419,0.8,980,1.9,23.6,(X)
1105,2315,2315,1947,84.1,192,8.3,0,0.0,47,2.0,100,4.3,29,1.3,27.0,(X)
1107,7016,7016,5760,82.1,675,9.6,6,0.1,131,1.9,25,0.4,419,6.0,35.6,(X)
1109,13757,13757,11501,83.6,1115,8.1,19,0.1,384,2.8,235,1.7,503,3.7,21.1,(X)
1111,8516,8516,7260,85.3,869,10.2,11,0.1,10,0.1,55,0.6,311,3.7,26.8,(X)
1113,24304,24304,21111,86.9,1976,8.1,57,0.2,310,1.3,225,0.9,625,2.6,25.4,(X)
1115,38109,38109,33011,86.6,3454,9.1,83,0.2,147,0.4,449,1.2,965,2.5,29.3,(X)
1117,104383,104383,89907,86.1,7621,7.3,30,0.0,802,0.8,626,0.6,5397,5.2,28.4,(X)
1119,4045,4045,3420,84.5,399,9.9,17,0.4,152,3.8,7,0.2,50,1.2,25.7,(X)
1121,30336,30336,25746,84.9,2756,9.1,107,0.4,602,2.0,341,1.1,784,2.6,25.0,(X)
1123,14901,14901,12975,87.1,1299,8.7,14,0.1,115,0.8,125,0.8,373,2.5,26.1,(X)
1125,92238,92238,78875,85.5,8132,8.8,283,0.3,1217,1.3,763,0.8,2968,3.2,22.6,(X)
1127,24210,24210,20623,85.2,2548,10.5,50,0.2,268,1.1,189,0.8,532,2.2,28.7,(X)
1129,5445,5445,4561,83.8,701,12.9,0,0.0,12,0.2,43,0.8,128,2.4,34.8,(X)
1131,2864,2864,2509,87.6,222,7.8,9,0.3,21,0.7,8,0.3,95,3.3,25.4,(X)
1133,8638,8638,7050,81.6,1125,13.0,33,0.4,30,0.3,146,1.7,254,2.9,29.3,(X)
2013,2365,2365,619,26.2,182,7.7,2,0.1,1272,53.8,75,3.2,215,9.1,4.5,(X)
2016,3861,3861,1835,47.5,317,8.2,26,0.7,1528,39.6,108,2.8,47,1.2,7.7,(X)
2020,155065,155065,118271,76.3,18027,11.6,2430,1.6,4794,3.1,5463,3.5,6080,3.9,18.7,(X)
2050,5938,5938,1389,23.4,750,12.6,27,0.5,1818,30.6,1640,27.6,314,5.3,7.1,(X)
2060,490,490,287,58.6,76,15.5,3,0.6,76,15.5,19,3.9,29,5.9,9.6,(X)
2068,1492,1492,502,33.6,138,9.2,7,0.5,726,48.7,11,0.7,108,7.2,16.5,(X)
2070,1980,1980,706,35.7,356,18.0,18,0.9,524,26.5,279,14.1,97,4.9,8.6,(X)
2090,51749,51749,38909,75.2,7549,14.6,492,1.0,1724,3.3,1389,2.7,1686,3.3,18.6,(X)
2100,1277,1277,811,63.5,95,7.4,3,0.2,127,9.9,62,4.9,179,14.0,7.1,(X)
2105,1015,1015,370,36.5,67,6.6,17,1.7,394,38.8,69,6.8,98,9.7,11.0,(X)
2110,17376,17376,11689,67.3,2618,15.1,876,5.0,1102,6.3,344,2.0,747,4.3,16.1,(X)
2122,24803,24803,17027,68.6,2589,10.4,165,0.7,1241,5.0,1780,7.2,2001,8.1,20.1,(X)
2130,6971,6971,4550,65.3,1165,16.7,249,3.6,583,8.4,224,3.2,200,2.9,14.2,(X)
2150,7274,7274,4717,64.8,1097,15.1,1,0.0,554,7.6,442,6.1,463,6.4,10.8,(X)
2158,2038,2038,100,4.9,89,4.4,2,0.1,840,41.2,950,46.6,57,2.8,6.7,(X)
2164,572,572,133,23.3,43,7.5,2,0.3,212,37.1,160,28.0,22,3.8,7.0,(X)
2170,42213,42213,31050,73.6,4403,10.4,329,0.8,858,2.0,2836,6.7,2737,6.5,34.5,(X)
2180,3579,3579,897,25.1,395,11.0,14,0.4,1345,37.6,781,21.8,147,4.1,6.8,(X)
