countyFIPS,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
1001,54277.0,54277.0,10465.0,19.3,13369.0,13369.0,1205.0,9.0,32994.0,32994.0,5345.0,16.2,7914.0,7914.0,3915.0,49.5
1003,205452.0,205452.0,28863.0,14.0,45591.0,45591.0,1667.0,3.7,119865.0,119865.0,13431.0,11.2,39996.0,39996.0,13765.0,34.4
1005,22882.0,22882.0,5078.0,22.2,5436.0,5436.0,468.0,8.6,13004.0,13004.0,2454.0,18.9,4442.0,4442.0,2156.0,48.5
1007,20468.0,20468.0,3412.0,16.7,4621.0,4621.0,187.0,4.0,12340.0,12340.0,1818.0,14.7,3507.0,3507.0,1407.0,40.1
1009,57169.0,57169.0,8114.0,14.2,13468.0,13468.0,336.0,2.5,33712.0,33712.0,4146.0,12.3,9989.0,9989.0,3632.0,36.4
1011,9978.0,9978.0,1441.0,14.4,2150.0,2150.0,125.0,5.8,6316.0,6316.0,799.0,12.7,1512.0,1512.0,517.0,34.2
1013,19734.0,19734.0,3492.0,17.7,4566.0,4566.0,180.0,3.9,11496.0,11496.0,1827.0,15.9,3672.0,3672.0,1485.0,40.4
1015,113561.0,113561.0,23598.0,20.8,25065.0,25065.0,1863.0,7.4,69560.0,69560.0,13034.0,18.7,18936.0,18936.0,8701.0,45.9
1017,33433.0,33433.0,5570.0,16.7,7006.0,7006.0,137.0,2.0,20216.0,20216.0,3063.0,15.2,6211.0,6211.0,2370.0,38.2
1019,25587.0,25587.0,5110.0,20.0,5286.0,5286.0,329.0,6.2,14841.0,14841.0,2611.0,17.6,5460.0,5460.0,2170.0,39.7
1021,43609.0,43609.0,7704.0,17.7,10647.0,10647.0,514.0,4.8,26176.0,26176.0,4615.0,17.6,6786.0,6786.0,2575.0,37.9
1023,12945.0,12945.0,3677.0,28.4,2650.0,2650.0,215.0,8.1,7477.0,7477.0,1925.0,25.7,2818.0,2818.0,1537.0,54.5
