countyFIPS,Estimate!!MARITAL STATUS!!Males 15 years and over,Percent Estimate!!MARITAL STATUS!!Males 15 years and over,Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Estimate!!MARITAL STATUS!!Females 15 years and over,Percent Estimate!!MARITAL STATUS!!Females 15 years and over,Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced
1001,21310.0,21310.0,5774.0,27.1,12807.0,60.1,134.0,0.6,464.0,2.2,2131.0,10.0,23048.0,23048.0,5418.0,23.5,12280.0,53.3,541.0,2.3,2003.0,8.7,2806.0,12.2
1003,82238.0,82238.0,23010.0,28.0,45591.0,55.4,1264.0,1.5,2858.0,3.5,9515.0,11.6,88248.0,88248.0,19182.0,21.7,43903.0,49.7,2028.0,2.3,9853.0,11.2,13282.0,15.1
1005,11397.0,11397.0,4517.0,39.6,4661.0,40.9,370.0,3.2,368.0,3.2,1481.0,13.0,9868.0,9868.0,2820.0,28.6,4098.0,41.5,406.0,4.1,1421.0,14.4,1123.0,11.4
1007,10119.0,10119.0,3943.0,39.0,4338.0,42.9,228.0,2.3,402.0,4.0,1208.0,11.9,8666.0,8666.0,2077.0,24.0,3996.0,46.1,228.0,2.6,1221.0,14.1,1144.0,13.2
1009,22810.0,22810.0,5582.0,24.5,13207.0,57.9,356.0,1.6,960.0,4.2,2705.0,11.9,23723.0,23723.0,3961.0,16.7,13861.0,58.4,447.0,1.9,2718.0,11.5,2736.0,11.5
1011,4741.0,4741.0,2397.0,50.6,1794.0,37.8,128.0,2.7,25.0,0.5,397.0,8.4,3841.0,3841.0,1506.0,39.2,1267.0,33.0,162.0,4.2,584.0,15.2,322.0,8.4
1013,7384.0,7384.0,3129.0,42.4,3061.0,41.5,186.0,2.5,240.0,3.3,768.0,10.4,8869.0,8869.0,2705.0,30.5,3503.0,39.5,307.0,3.5,1197.0,13.5,1157.0,13.0
1015,44909.0,44909.0,14022.0,31.2,22658.0,50.5,1047.0,2.3,1447.0,3.2,5735.0,12.8,49625.0,49625.0,12717.0,25.6,23187.0,46.7,1607.0,3.2,5720.0,11.5,6394.0,12.9
1017,13324.0,13324.0,4398.0,33.0,6477.0,48.6,316.0,2.4,537.0,4.0,1596.0,12.0,14725.0,14725.0,4089.0,27.8,6155.0,41.8,408.0,2.8,2243.0,15.2,1830.0,12.4
1019,10691.0,10691.0,2435.0,22.8,6571.0,61.5,153.0,1.4,408.0,3.8,1124.0,10.5,10968.0,10968.0,1855.0,16.9,6234.0,56.8,257.0,2.3,1245.0,11.4,1377.0,12.6
1021,17282.0,17282.0,5194.0,30.1,9188.0,53.2,137.0,0.8,699.0,4.0,2064.0,11.9,17909.0,17909.0,3668.0,20.5,9334.0,52.1,413.0,2.3,2033.0,11.4,2461.0,13.7
1023,5181.0,5181.0,1591.0,30.7,2599.0,50.2,52.0,1.0,176.0,3.4,763.0,14.7,5756.0,5756.0,1470.0,25.5,2499.0,43.4,365.0,6.3,743.0,12.9,679.0,11.8
1025,9375.0,9375.0,3121.0,33.3,4874.0,52.0,317.0,3.4,336.0,3.6,727.0,7.8,10682.0,10682.0,3466.0,32.4,4560.0,42.7,540.0,5.1,1178.0,11.0,938.0,8.8
1027,5307.0,5307.0,1241.0,23.4,3093.0,58.3,78.0,1.5,188.0,3.5,707.0,13.3,5753.0,5753.0,1241.0,21.6,2868.0,49.9,318.0,5.5,747.0,13.0,579.0,10.1
1029,5882.0,5882.0,1540.0,26.2,3260.0,55.4,127.0,2.2,241.0,4.1,714.0,12.1,6218.0,6218.0,980.0,15.8,3372.0,54.2,262.0,4.2,897.0,14.4,707.0,11.4
1031,20181.0,20181.0,5870.0,29.1,10868.0,53.9,444.0,2.2,677.0,3.4,2322.0,11.5,21090.0,21090.0,4386.0,20.8,11123.0,52.7,743.0,3.5,2049.0,9.7,2789.0,13.2
1033,21268.0,21268.0,6090.0,28.6,11491.0,54.0,359.0,1.7,688.0,3.2,2640.0,12.4,23668.0,23668.0,5038.0,21.3,11819.0,49.9,574.0,2.4,3001.0,12.7,3236.0,13.7
1035,4901.0,4901.0,1986.0,40.5,2033.0,41.5,163.0,3.3,382.0,7.8,337.0,6.9,5432.0,5432.0,1661.0,30.6,1885.0,34.7,176.0,3.2,837.0,15.4,873.0,16.1
1037,4689.0,4689.0,1623.0,34.6,2014.0,43.0,116.0,2.5,199.0,4.2,737.0,15.7,4670.0,4670.0,1157.0,24.8,2154.0,46.1,130.0,2.8,702.0,15.0,527.0,11.3
1039,14624.0,14624.0,3596.0,24.6,8083.0,55.3,321.0,2.2,745.0,5.1,1879.0,12.8,15951.0,15951.0,3115.0,19.5,7710.0,48.3,502.0,3.1,2403.0,15.1,2221.0,13.9
1041,5437.0,5437.0,1827.0,33.6,2662.0,49.0,130.0,2.4,155.0,2.9,663.0,12.2,5848.0,5848.0,1531.0,26.2,2591.0,44.3,152.0,2.6,880.0,15.0,694.0,11.9
1043,32784.0,32784.0,8310.0,25.3,18428.0,56.2,421.0,1.3,1070.0,3.3,4555.0,13.9,34218.0,34218.0,6419.0,18.8,18135.0,53.0,829.0,2.4,4298.0,12.6,4537.0,13.3
1045,19396.0,19396.0,5758.0,29.7,10251.0,52.9,274.0,1.4,627.0,3.2,2486.0,12.8,20318.0,20318.0,4565.0,22.5,9666.0,47.6,674.0,3.3,2350.0,11.6,3063.0,15.1
1047,14428.0,14428.0,5905.0,40.9,5881.0,40.8,508.0,3.5,564.0,3.9,1570.0,10.9,17600.0,17600.0,6856.0,39.0,5955.0,33.8,783.0,4.4,2109.0,12.0,1897.0,10.8
1049,27908.0,27908.0,8262.0,29.6,14973.0,53.7,428.0,1.5,948.0,3.4,3297.0,11.8,28974.0,28974.0,6358.0,21.9,14690.0,50.7,837.0,2.9,3462.0,11.9,3627.0,12.5
1051,31830.0,31830.0,10460.0,32.9,15677.0,49.3,434.0,1.4,967.0,3.0,4292.0,13.5,34425.0,34425.0,8597.0,25.0,17599.0,51.1,706.0,2.1,3359.0,9.8,4164.0,12.1
1053,15606.0,15606.0,6353.0,40.7,6617.0,42.4,340.0,2.2,492.0,3.2,1804.0,11.6,14819.0,14819.0,4140.0,27.9,6208.0,41.9,380.0,2.6,2092.0,14.1,1999.0,13.5
1055,40405.0,40405.0,12425.0,30.8,20510.0,50.8,573.0,1.4,1572.0,3.9,5325.0,13.2,44383.0,44383.0,10671.0,24.0,20478.0,46.1,1284.0,2.9,5362.0,12.1,6588.0,14.8
1057,6557.0,6557.0,1559.0,23.8,3738.0,57.0,93.0,1.4,283.0,4.3,884.0,13.5,7153.0,7153.0,1328.0,18.6,3824.0,53.5,262.0,3.7,873.0,12.2,866.0,12.1
1059,12252.0,12252.0,3615.0,29.5,6438.0,52.5,65.0,0.5,542.0,4.4,1592.0,13.0,12858.0,12858.0,3058.0,23.8,5918.0,46.0,432.0,3.4,1710.0,13.3,1740.0,13.5
1061,10473.0,10473.0,2767.0,26.4,5790.0,55.3,217.0,2.1,401.0,3.8,1298.0,12.4,11189.0,11189.0,2185.0,19.5,5666.0,50.6,333.0,3.0,1409.0,12.6,1596.0,14.3
1063,3097.0,3097.0,1475.0,47.6,1087.0,35.1,79.0,2.6,178.0,5.7,278.0,9.0,3814.0,3814.0,1569.0,41.1,832.0,21.8,320.0,8.4,616.0,16.2,477.0,12.5
1065,5549.0,5549.0,2096.0,37.8,2639.0,47.6,127.0,2.3,151.0,2.7,536.0,9.7,6494.0,6494.0,2538.0,39.1,2195.0,33.8,127.0,2.0,741.0,11.4,893.0,13.8
