countyFIPS,Estimate!!ANCESTRY!!Total population,Percent Estimate!!ANCESTRY!!Total population,Estimate!!ANCESTRY!!Total population!!American,Percent Estimate!!ANCESTRY!!Total population!!American,Estimate!!ANCESTRY!!Total population!!Arab,Percent Estimate!!ANCESTRY!!Total population!!Arab,Estimate!!ANCESTRY!!Total population!!Czech,Percent Estimate!!ANCESTRY!!Total population!!Czech,Estimate!!ANCESTRY!!Total population!!Danish,Percent Estimate!!ANCESTRY!!Total population!!Danish,Estimate!!ANCESTRY!!Total population!!Dutch,Percent Estimate!!ANCESTRY!!Total population!!Dutch,Estimate!!ANCESTRY!!Total population!!English,Percent Estimate!!ANCESTRY!!Total population!!English,Estimate!!ANCESTRY!!Total population!!French (except Basque),Percent Estimate!!ANCESTRY!!Total population!!French (except Basque),Estimate!!ANCESTRY!!Total population!!French Canadian,Percent Estimate!!ANCESTRY!!Total population!!French Canadian,Estimate!!ANCESTRY!!Total population!!German,Percent Estimate!!ANCESTRY!!Total population!!German,Estimate!!ANCESTRY!!Total population!!Greek,Percent Estimate!!ANCESTRY!!Total population!!Greek,Estimate!!ANCESTRY!!Total population!!Hungarian,Percent Estimate!!ANCESTRY!!Total population!!Hungarian,Estimate!!ANCESTRY!!Total population!!Irish,Percent Estimate!!ANCESTRY!!Total population!!Irish,Estimate!!ANCESTRY!!Total population!!Italian,Percent Estimate!!ANCESTRY!!Total population!!Italian,Estimate!!ANCESTRY!!Total population!!Lithuanian,Percent Estimate!!ANCESTRY!!Total population!!Lithuanian,Estimate!!ANCESTRY!!Total population!!Norwegian,Percent Estimate!!ANCESTRY!!Total population!!Norwegian,Estimate!!ANCESTRY!!Total population!!Polish,Percent Estimate!!ANCESTRY!!Total population!!Polish,Estimate!!ANCESTRY!!Total population!!Portuguese,Percent Estimate!!ANCESTRY!!Total population!!Portuguese,Estimate!!ANCESTRY!!Total population!!Russian,Percent Estimate!!ANCESTRY!!Total population!!Russian,Estimate!!ANCESTRY!!Total population!!Scotch-Irish,Percent Estimate!!ANCESTRY!!Total population!!Scotch-Irish,Estimate!!ANCESTRY!!Total population!!Scottish,Percent Estimate!!ANCESTRY!!Total population!!Scottish,Estimate!!ANCESTRY!!Total population!!Slovak,Percent Estimate!!ANCESTRY!!Total population!!Slovak,Estimate!!ANCESTRY!!Total population!!Subsaharan African,Percent Estimate!!ANCESTRY!!Total population!!Subsaharan African,Estimate!!ANCESTRY!!Total population!!Swedish,Percent Estimate!!ANCESTRY!!Total population!!Swedish,Estimate!!ANCESTRY!!Total population!!Swiss,Percent Estimate!!ANCESTRY!!Total population!!Swiss,Estimate!!ANCESTRY!!Total population!!Ukrainian,Percent Estimate!!ANCESTRY!!Total population!!Ukrainian,Estimate!!ANCESTRY!!Total population!!Welsh,Percent Estimate!!ANCESTRY!!Total population!!Welsh,Estimate!!ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups),Percent Estimate!!ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)
1001,55200.0,55200.0,8074.0,14.6,39.0,0.1,50.0,0.1,88.0,0.2,359.0,0.7,4661.0,8.4,928.0,1.7,209.0,0.4,4390.0,8.0,90.0,0.2,226.0,0.4,5124.0,9.3,937.0,1.7,0.0,0.0,343.0,0.6,263.0,0.5,37.0,0.1,74.0,0.1,595.0,1.1,926.0,1.7,0.0,0.0,817.0,1.5,357.0,0.6,27.0,0.0,0.0,0.0,412.0,0.7,0.0,0.0
1003,208107.0,208107.0,54340.0,26.1,791.0,0.4,873.0,0.4,329.0,0.2,1517.0,0.7,20130.0,9.7,5548.0,2.7,498.0,0.2,20610.0,9.9,424.0,0.2,1067.0,0.5,19780.0,9.5,4948.0,2.4,200.0,0.1,1602.0,0.8,2113.0,1.0,142.0,0.1,283.0,0.1,3641.0,1.7,5007.0,2.4,100.0,0.0,193.0,0.1,1255.0,0.6,368.0,0.2,130.0,0.1,994.0,0.5,864.0,0.4
1005,25782.0,25782.0,3695.0,14.3,19.0,0.1,0.0,0.0,7.0,0.0,53.0,0.2,1122.0,4.4,92.0,0.4,68.0,0.3,991.0,3.8,5.0,0.0,0.0,0.0,1284.0,5.0,237.0,0.9,4.0,0.0,0.0,0.0,31.0,0.1,6.0,0.0,5.0,0.0,256.0,1.0,203.0,0.8,4.0,0.0,72.0,0.3,53.0,0.2,0.0,0.0,21.0,0.1,48.0,0.2,33.0,0.1
1007,22527.0,22527.0,2648.0,11.8,8.0,0.0,0.0,0.0,0.0,0.0,73.0,0.3,1397.0,6.2,86.0,0.4,4.0,0.0,1434.0,6.4,0.0,0.0,8.0,0.0,1579.0,7.0,173.0,0.8,0.0,0.0,32.0,0.1,71.0,0.3,0.0,0.0,4.0,0.0,69.0,0.3,232.0,1.0,0.0,0.0,22.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.4,0.0,0.0
1009,57645.0,57645.0,7948.0,13.8,3.0,0.0,1.0,0.0,0.0,0.0,426.0,0.7,4605.0,8.0,756.0,1.3,21.0,0.0,3847.0,6.7,37.0,0.1,176.0,0.3,13471.0,23.4,688.0,1.2,7.0,0.0,92.0,0.2,236.0,0.4,43.0,0.1,11.0,0.0,747.0,1.3,971.0,1.7,40.0,0.1,220.0,0.4,303.0,0.5,41.0,0.1,0.0,0.0,148.0,0.3,13.0,0.0
1011,10352.0,10352.0,645.0,6.2,7.0,0.1,0.0,0.0,7.0,0.1,26.0,0.3,328.0,3.2,95.0,0.9,7.0,0.1,164.0,1.6,0.0,0.0,0.0,0.0,139.0,1.3,0.0,0.0,0.0,0.0,8.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,70.0,0.7,161.0,1.6,0.0,0.0,196.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1,0.0,0.0
1013,20025.0,20025.0,2458.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.2,1059.0,5.3,221.0,1.1,0.0,0.0,528.0,2.6,0.0,0.0,0.0,0.0,978.0,4.9,89.0,0.4,0.0,0.0,28.0,0.1,70.0,0.3,0.0,0.0,21.0,0.1,176.0,0.9,266.0,1.3,0.0,0.0,215.0,1.1,29.0,0.1,0.0,0.0,0.0,0.0,37.0,0.2,0.0,0.0
1015,115098.0,115098.0,16009.0,13.9,121.0,0.1,164.0,0.1,286.0,0.2,1110.0,1.0,8360.0,7.3,1377.0,1.2,237.0,0.2,8835.0,7.7,105.0,0.1,31.0,0.0,11300.0,9.8,1985.0,1.7,59.0,0.1,598.0,0.5,389.0,0.3,35.0,0.0,142.0,0.1,1795.0,1.6,2066.0,1.8,86.0,0.1,1233.0,1.1,286.0,0.2,138.0,0.1,37.0,0.0,548.0,0.5,423.0,0.4
1017,33826.0,33826.0,5154.0,15.2,20.0,0.1,4.0,0.0,0.0,0.0,123.0,0.4,2021.0,6.0,204.0,0.6,52.0,0.2,1151.0,3.4,20.0,0.1,8.0,0.0,2174.0,6.4,62.0,0.2,0.0,0.0,48.0,0.1,13.0,0.0,0.0,0.0,0.0,0.0,504.0,1.5,302.0,0.9,0.0,0.0,184.0,0.5,50.0,0.1,0.0,0.0,8.0,0.0,25.0,0.1,6.0,0.0
1019,25853.0,25853.0,4236.0,16.4,17.0,0.1,29.0,0.1,0.0,0.0,227.0,0.9,1812.0,7.0,251.0,1.0,7.0,0.0,1279.0,4.9,0.0,0.0,18.0,0.1,1983.0,7.7,292.0,1.1,0.0,0.0,96.0,0.4,63.0,0.2,9.0,0.0,3.0,0.0,305.0,1.2,302.0,1.2,0.0,0.0,55.0,0.2,31.0,0.1,0.0,0.0,0.0,0.0,139.0,0.5,2.0,0.0
1021,43930.0,43930.0,9047.0,20.6,15.0,0.0,25.0,0.1,29.0,0.1,167.0,0.4,2725.0,6.2,599.0,1.4,84.0,0.2,2455.0,5.6,51.0,0.1,23.0,0.1,3660.0,8.3,522.0,1.2,21.0,0.0,94.0,0.2,194.0,0.4,8.0,0.0,37.0,0.1,477.0,1.1,871.0,2.0,3.0,0.0,148.0,0.3,78.0,0.2,44.0,0.1,8.0,0.0,268.0,0.6,57.0,0.1
1023,13075.0,13075.0,5532.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.3,277.0,2.1,25.0,0.2,26.0,0.2,671.0,5.1,8.0,0.1,0.0,0.0,777.0,5.9,155.0,1.2,3.0,0.0,30.0,0.2,11.0,0.1,0.0,0.0,13.0,0.1,173.0,1.3,207.0,1.6,0.0,0.0,29.0,0.2,8.0,0.1,3.0,0.0,11.0,0.1,0.0,0.0,5.0,0.0
1025,24387.0,24387.0,2315.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.4,1757.0,7.2,136.0,0.6,27.0,0.1,612.0,2.5,0.0,0.0,0.0,0.0,851.0,3.5,83.0,0.3,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,454.0,1.9,295.0,1.2,3.0,0.0,790.0,3.2,34.0,0.1,0.0,0.0,0.0,0.0,93.0,0.4,0.0,0.0
1027,13378.0,13378.0,6265.0,46.8,9.0,0.1,0.0,0.0,0.0,0.0,27.0,0.2,1142.0,8.5,121.0,0.9,0.0,0.0,652.0,4.9,25.0,0.2,0.0,0.0,770.0,5.8,65.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.8,159.0,1.2,0.0,0.0,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,135.0,1.0,0.0,0.0
1029,14938.0,14938.0,2863.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,307.0,2.1,958.0,6.4,174.0,1.2,0.0,0.0,949.0,6.4,8.0,0.1,51.0,0.3,1677.0,11.2,137.0,0.9,0.0,0.0,80.0,0.5,16.0,0.1,11.0,0.1,0.0,0.0,149.0,1.0,187.0,1.3,0.0,0.0,3.0,0.0,13.0,0.1,7.0,0.0,1.0,0.0,37.0,0.2,0.0,0.0
1031,51288.0,51288.0,5755.0,11.2,21.0,0.0,110.0,0.2,6.0,0.0,261.0,0.5,3835.0,7.5,485.0,0.9,237.0,0.5,3731.0,7.3,126.0,0.2,55.0,0.1,3133.0,6.1,1023.0,2.0,3.0,0.0,260.0,0.5,440.0,0.9,54.0,0.1,90.0,0.2,620.0,1.2,715.0,1.4,8.0,0.0,2646.0,5.2,122.0,0.2,52.0,0.1,14.0,0.0,289.0,0.6,13.0,0.0
1033,54495.0,54495.0,14617.0,26.8,128.0,0.2,37.0,0.1,16.0,0.0,192.0,0.4,3274.0,6.0,361.0,0.7,52.0,0.1,2468.0,4.5,18.0,0.0,22.0,0.0,4721.0,8.7,547.0,1.0,19.0,0.0,57.0,0.1,232.0,0.4,11.0,0.0,19.0,0.0,734.0,1.3,811.0,1.5,11.0,0.0,158.0,0.3,67.0,0.1,16.0,0.0,0.0,0.0,164.0,0.3,27.0,0.0
1035,12514.0,12514.0,896.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1.0,798.0,6.4,56.0,0.4,91.0,0.7,306.0,2.4,0.0,0.0,0.0,0.0,549.0,4.4,77.0,0.6,0.0,0.0,50.0,0.4,6.0,0.0,0.0,0.0,9.0,0.1,212.0,1.7,85.0,0.7,0.0,0.0,33.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.1
1037,10855.0,10855.0,4555.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.1,299.0,2.8,170.0,1.6,3.0,0.0,265.0,2.4,0.0,0.0,6.0,0.1,330.0,3.0,64.0,0.6,0.0,0.0,69.0,0.6,6.0,0.1,0.0,0.0,0.0,0.0,53.0,0.5,112.0,1.0,0.0,0.0,102.0,0.9,10.0,0.1,9.0,0.1,0.0,0.0,13.0,0.1,48.0,0.4
1039,37351.0,37351.0,8403.0,22.5,0.0,0.0,0.0,0.0,15.0,0.0,210.0,0.6,2092.0,5.6,410.0,1.1,83.0,0.2,1367.0,3.7,28.0,0.1,80.0,0.2,2712.0,7.3,400.0,1.1,0.0,0.0,124.0,0.3,94.0,0.3,14.0,0.0,28.0,0.1,628.0,1.7,396.0,1.1,0.0,0.0,207.0,0.6,98.0,0.3,24.0,0.1,6.0,0.0,173.0,0.5,0.0,0.0
1041,13865.0,13865.0,2273.0,16.4,0.0,0.0,0.0,0.0,2.0,0.0,109.0,0.8,699.0,5.0,66.0,0.5,23.0,0.2,400.0,2.9,4.0,0.0,0.0,0.0,1069.0,7.7,148.0,1.1,0.0,0.0,11.0,0.1,22.0,0.2,0.0,0.0,12.0,0.1,178.0,1.3,125.0,0.9,0.0,0.0,226.0,1.6,13.0,0.1,0.0,0.0,0.0,0.0,51.0,0.4,10.0,0.1
1043,82313.0,82313.0,19006.0,23.1,17.0,0.0,23.0,0.0,59.0,0.1,682.0,0.8,6017.0,7.3,1137.0,1.4,60.0,0.1,10684.0,13.0,114.0,0.1,132.0,0.2,14027.0,17.0,1423.0,1.7,91.0,0.1,198.0,0.2,675.0,0.8,392.0,0.5,59.0,0.1,792.0,1.0,1624.0,2.0,31.0,0.0,224.0,0.3,107.0,0.1,20.0,0.0,19.0,0.0,306.0,0.4,14.0,0.0
1045,49255.0,49255.0,10342.0,21.0,83.0,0.2,56.0,0.1,29.0,0.1,434.0,0.9,3091.0,6.3,458.0,0.9,139.0,0.3,3180.0,6.5,59.0,0.1,76.0,0.2,3215.0,6.5,955.0,1.9,87.0,0.2,111.0,0.2,448.0,0.9,88.0,0.2,28.0,0.1,677.0,1.4,728.0,1.5,12.0,0.0,1402.0,2.8,127.0,0.3,20.0,0.0,0.0,0.0,160.0,0.3,20.0,0.0
1047,40029.0,40029.0,4822.0,12.0,45.0,0.1,0.0,0.0,8.0,0.0,322.0,0.8,1669.0,4.2,267.0,0.7,29.0,0.1,855.0,2.1,0.0,0.0,9.0,0.0,1217.0,3.0,88.0,0.2,0.0,0.0,37.0,0.1,20.0,0.0,0.0,0.0,14.0,0.0,486.0,1.2,289.0,0.7,12.0,0.0,400.0,1.0,79.0,0.2,22.0,0.1,6.0,0.0,38.0,0.1,53.0,0.1
1049,71200.0,71200.0,9577.0,13.5,5.0,0.0,19.0,0.0,25.0,0.0,695.0,1.0,3486.0,4.9,472.0,0.7,31.0,0.0,4019.0,5.6,55.0,0.1,64.0,0.1,6441.0,9.0,716.0,1.0,24.0,0.0,224.0,0.3,141.0,0.2,27.0,0.0,103.0,0.1,672.0,0.9,763.0,1.1,0.0,0.0,75.0,0.1,188.0,0.3,4.0,0.0,1.0,0.0,244.0,0.3,79.0,0.1
1051,81212.0,81212.0,12994.0,16.0,12.0,0.0,0.0,0.0,106.0,0.1,963.0,1.2,6173.0,7.6,1164.0,1.4,221.0,0.3,5554.0,6.8,165.0,0.2,93.0,0.1,6689.0,8.2,1524.0,1.9,9.0,0.0,143.0,0.2,448.0,0.6,28.0,0.0,22.0,0.0,1669.0,2.1,1676.0,2.1,12.0,0.0,651.0,0.8,352.0,0.4,72.0,0.1,53.0,0.1,497.0,0.6,88.0,0.1
1053,37328.0,37328.0,3432.0,9.2,14.0,0.0,0.0,0.0,0.0,0.0,138.0,0.4,1274.0,3.4,169.0,0.5,29.0,0.1,999.0,2.7,5.0,0.0,0.0,0.0,1641.0,4.4,290.0,0.8,0.0,0.0,86.0,0.2,142.0,0.4,0.0,0.0,57.0,0.2,757.0,2.0,245.0,0.7,0.0,0.0,62.0,0.2,29.0,0.1,34.0,0.1,0.0,0.0,58.0,0.2,40.0,0.1
1055,102939.0,102939.0,16703.0,16.2,271.0,0.3,43.0,0.0,82.0,0.1,849.0,0.8,6737.0,6.5,1265.0,1.2,41.0,0.0,6435.0,6.3,119.0,0.1,133.0,0.1,9342.0,9.1,1549.0,1.5,1.0,0.0,193.0,0.2,557.0,0.5,133.0,0.1,158.0,0.2,1488.0,1.4,1721.0,1.7,0.0,0.0,528.0,0.5,163.0,0.2,30.0,0.0,0.0,0.0,350.0,0.3,222.0,0.2
1057,16585.0,16585.0,4426.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.8,1222.0,7.4,66.0,0.4,14.0,0.1,743.0,4.5,48.0,0.3,12.0,0.1,1435.0,8.7,183.0,1.1,0.0,0.0,33.0,0.2,100.0,0.6,0.0,0.0,14.0,0.1,164.0,1.0,355.0,2.1,0.0,0.0,4.0,0.0,30.0,0.2,10.0,0.1,0.0,0.0,54.0,0.3,9.0,0.1
1059,31542.0,31542.0,10702.0,33.9,29.0,0.1,0.0,0.0,28.0,0.1,255.0,0.8,1634.0,5.2,127.0,0.4,18.0,0.1,1389.0,4.4,7.0,0.0,24.0,0.1,2172.0,6.9,266.0,0.8,0.0,0.0,14.0,0.0,36.0,0.1,9.0,0.0,20.0,0.1,299.0,0.9,264.0,0.8,0.0,0.0,12.0,0.0,67.0,0.2,0.0,0.0,0.0,0.0,132.0,0.4,3.0,0.0
1061,26491.0,26491.0,4053.0,15.3,17.0,0.1,4.0,0.0,10.0,0.0,328.0,1.2,1946.0,7.3,501.0,1.9,8.0,0.0,1472.0,5.6,37.0,0.1,14.0,0.1,2687.0,10.1,210.0,0.8,0.0,0.0,96.0,0.4,97.0,0.4,2.0,0.0,53.0,0.2,529.0,2.0,344.0,1.3,6.0,0.0,54.0,0.2,109.0,0.4,0.0,0.0,0.0,0.0,184.0,0.7,19.0,0.1
1063,8426.0,8426.0,490.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.3,51.0,0.6,0.0,0.0,0.0,0.0,95.0,1.1,0.0,0.0,0.0,0.0,247.0,2.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.1,19.0,0.2,0.0,0.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,140.0,1.7
1065,14887.0,14887.0,1224.0,8.2,0.0,0.0,0.0,0.0,3.0,0.0,26.0,0.2,435.0,2.9,73.0,0.5,45.0,0.3,292.0,2.0,3.0,0.0,6.0,0.0,413.0,2.8,83.0,0.6,0.0,0.0,8.0,0.1,24.0,0.2,0.0,0.0,58.0,0.4,64.0,0.4,61.0,0.4,0.0,0.0,69.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,15.0,0.1,10.0,0.1
