countyFIPS,Estimate!!PLACE OF BIRTH!!Total population,Percent Estimate!!PLACE OF BIRTH!!Total population,Estimate!!PLACE OF BIRTH!!Total population!!Native,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native,Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States,Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,"Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Estimate!!PLACE OF BIRTH!!Total population!!Foreign born,Percent Estimate!!PLACE OF BIRTH!!Total population!!Foreign born,"Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America"
1001,55200.0,55200.0,54086.0,98.0,53385.0,96.7,38337.0,69.5,15048.0,27.3,701.0,1.3,1114.0,2.0,1114.0,1114.0,185.0,16.6,488.0,43.8,0.0,0.0,19.0,1.7,417.0,37.4,5.0,0.4
1003,208107.0,208107.0,200937.0,96.6,198875.0,95.6,111863.0,53.8,87012.0,41.8,2062.0,1.0,7170.0,3.4,7170.0,7170.0,1606.0,22.4,1164.0,16.2,190.0,2.6,78.0,1.1,3926.0,54.8,206.0,2.9
1005,25782.0,25782.0,25136.0,97.5,25064.0,97.2,17585.0,68.2,7479.0,29.0,72.0,0.3,646.0,2.5,646.0,646.0,62.0,9.6,80.0,12.4,0.0,0.0,0.0,0.0,485.0,75.1,19.0,2.9
1007,22527.0,22527.0,22202.0,98.6,22083.0,98.0,18294.0,81.2,3789.0,16.8,119.0,0.5,325.0,1.4,325.0,325.0,8.0,2.5,51.0,15.7,0.0,0.0,0.0,0.0,266.0,81.8,0.0,0.0
1009,57645.0,57645.0,55132.0,95.6,54877.0,95.2,45855.0,79.5,9022.0,15.7,255.0,0.4,2513.0,4.4,2513.0,2513.0,167.0,6.6,139.0,5.5,66.0,2.6,35.0,1.4,2094.0,83.3,12.0,0.5
1011,10352.0,10352.0,10256.0,99.1,10193.0,98.5,8711.0,84.1,1482.0,14.3,63.0,0.6,96.0,0.9,96.0,96.0,18.0,18.8,23.0,24.0,15.0,15.6,0.0,0.0,40.0,41.7,0.0,0.0
1013,20025.0,20025.0,19750.0,98.6,19683.0,98.3,17066.0,85.2,2617.0,13.1,67.0,0.3,275.0,1.4,275.0,275.0,46.0,16.7,216.0,78.5,0.0,0.0,0.0,0.0,13.0,4.7,0.0,0.0
1015,115098.0,115098.0,112039.0,97.3,110649.0,96.1,84348.0,73.3,26301.0,22.9,1390.0,1.2,3059.0,2.7,3059.0,3059.0,479.0,15.7,860.0,28.1,102.0,3.3,10.0,0.3,1589.0,51.9,19.0,0.6
1017,33826.0,33826.0,33356.0,98.6,33202.0,98.2,25025.0,74.0,8177.0,24.2,154.0,0.5,470.0,1.4,470.0,470.0,30.0,6.4,324.0,68.9,27.0,5.7,0.0,0.0,89.0,18.9,0.0,0.0
1019,25853.0,25853.0,25648.0,99.2,25608.0,99.1,13552.0,52.4,12056.0,46.6,40.0,0.2,205.0,0.8,205.0,205.0,16.0,7.8,42.0,20.5,0.0,0.0,3.0,1.5,96.0,46.8,48.0,23.4
1021,43930.0,43930.0,41960.0,95.5,41656.0,94.8,34063.0,77.5,7593.0,17.3,304.0,0.7,1970.0,4.5,1970.0,1970.0,185.0,9.4,131.0,6.6,3.0,0.2,0.0,0.0,1651.0,83.8,0.0,0.0
1023,13075.0,13075.0,13010.0,99.5,12983.0,99.3,6686.0,51.1,6297.0,48.2,27.0,0.2,65.0,0.5,65.0,65.0,0.0,0.0,17.0,26.2,0.0,0.0,0.0,0.0,18.0,27.7,30.0,46.2
1025,24387.0,24387.0,24294.0,99.6,24275.0,99.5,21111.0,86.6,3164.0,13.0,19.0,0.1,93.0,0.4,93.0,93.0,19.0,20.4,53.0,57.0,12.0,12.9,0.0,0.0,9.0,9.7,0.0,0.0
1027,13378.0,13378.0,13117.0,98.0,13117.0,98.0,10938.0,81.8,2179.0,16.3,0.0,0.0,261.0,2.0,261.0,261.0,21.0,8.0,18.0,6.9,0.0,0.0,0.0,0.0,222.0,85.1,0.0,0.0
1029,14938.0,14938.0,14713.0,98.5,14614.0,97.8,7885.0,52.8,6729.0,45.0,99.0,0.7,225.0,1.5,225.0,225.0,23.0,10.2,3.0,1.3,24.0,10.7,0.0,0.0,174.0,77.3,1.0,0.4
1031,51288.0,51288.0,49448.0,96.4,48089.0,93.8,29734.0,58.0,18355.0,35.8,1359.0,2.6,1840.0,3.6,1840.0,1840.0,420.0,22.8,508.0,27.6,0.0,0.0,6.0,0.3,879.0,47.8,27.0,1.5
1033,54495.0,54495.0,53590.0,98.3,53304.0,97.8,42418.0,77.8,10886.0,20.0,286.0,0.5,905.0,1.7,905.0,905.0,75.0,8.3,237.0,26.2,35.0,3.9,0.0,0.0,535.0,59.1,23.0,2.5
1035,12514.0,12514.0,12425.0,99.3,12388.0,99.0,10852.0,86.7,1536.0,12.3,37.0,0.3,89.0,0.7,89.0,89.0,22.0,24.7,24.0,27.0,0.0,0.0,0.0,0.0,43.0,48.3,0.0,0.0
1037,10855.0,10855.0,10804.0,99.5,10727.0,98.8,9078.0,83.6,1649.0,15.2,77.0,0.7,51.0,0.5,51.0,51.0,2.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,48.0,94.1,1.0,2.0
1039,37351.0,37351.0,37073.0,99.3,36917.0,98.8,28675.0,76.8,8242.0,22.1,156.0,0.4,278.0,0.7,278.0,278.0,115.0,41.4,82.0,29.5,0.0,0.0,0.0,0.0,81.0,29.1,0.0,0.0
1041,13865.0,13865.0,13595.0,98.1,13562.0,97.8,11604.0,83.7,1958.0,14.1,33.0,0.2,270.0,1.9,270.0,270.0,2.0,0.7,120.0,44.4,0.0,0.0,0.0,0.0,148.0,54.8,0.0,0.0
1043,82313.0,82313.0,80328.0,97.6,80037.0,97.2,63297.0,76.9,16740.0,20.3,291.0,0.4,1985.0,2.4,1985.0,1985.0,243.0,12.2,325.0,16.4,0.0,0.0,19.0,1.0,1394.0,70.2,4.0,0.2
1045,49255.0,49255.0,47618.0,96.7,46154.0,93.7,26923.0,54.7,19231.0,39.0,1464.0,3.0,1637.0,3.3,1637.0,1637.0,327.0,20.0,457.0,27.9,0.0,0.0,4.0,0.2,831.0,50.8,18.0,1.1
1047,40029.0,40029.0,39501.0,98.7,39421.0,98.5,35121.0,87.7,4300.0,10.7,80.0,0.2,528.0,1.3,528.0,528.0,63.0,11.9,185.0,35.0,34.0,6.4,10.0,1.9,232.0,43.9,4.0,0.8
1049,71200.0,71200.0,65875.0,92.5,65531.0,92.0,47719.0,67.0,17812.0,25.0,344.0,0.5,5325.0,7.5,5325.0,5325.0,68.0,1.3,140.0,2.6,5.0,0.1,0.0,0.0,5045.0,94.7,67.0,1.3
1051,81212.0,81212.0,79766.0,98.2,78853.0,97.1,58666.0,72.2,20187.0,24.9,913.0,1.1,1446.0,1.8,1446.0,1446.0,224.0,15.5,517.0,35.8,37.0,2.6,0.0,0.0,612.0,42.3,56.0,3.9
1053,37328.0,37328.0,36963.0,99.0,36718.0,98.4,28418.0,76.1,8300.0,22.2,245.0,0.7,365.0,1.0,365.0,365.0,17.0,4.7,118.0,32.3,10.0,2.7,0.0,0.0,220.0,60.3,0.0,0.0
1055,102939.0,102939.0,99962.0,97.1,99266.0,96.4,80173.0,77.9,19093.0,18.5,696.0,0.7,2977.0,2.9,2977.0,2977.0,125.0,4.2,738.0,24.8,347.0,11.7,0.0,0.0,1670.0,56.1,97.0,3.3
1057,16585.0,16585.0,16433.0,99.1,16394.0,98.8,13716.0,82.7,2678.0,16.1,39.0,0.2,152.0,0.9,152.0,152.0,9.0,5.9,112.0,73.7,0.0,0.0,0.0,0.0,31.0,20.4,0.0,0.0
1059,31542.0,31542.0,28623.0,90.7,28496.0,90.3,22999.0,72.9,5497.0,17.4,127.0,0.4,2919.0,9.3,2919.0,2919.0,36.0,1.2,145.0,5.0,0.0,0.0,0.0,0.0,2734.0,93.7,4.0,0.1
1061,26491.0,26491.0,26085.0,98.5,25734.0,97.1,17389.0,65.6,8345.0,31.5,351.0,1.3,406.0,1.5,406.0,406.0,64.0,15.8,90.0,22.2,0.0,0.0,0.0,0.0,252.0,62.1,0.0,0.0
1063,8426.0,8426.0,8418.0,99.9,8415.0,99.9,7610.0,90.3,805.0,9.6,3.0,0.0,8.0,0.1,8.0,8.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,6.0,75.0,0.0,0.0
1065,14887.0,14887.0,14801.0,99.4,14750.0,99.1,13149.0,88.3,1601.0,10.8,51.0,0.3,86.0,0.6,86.0,86.0,5.0,5.8,21.0,24.4,8.0,9.3,0.0,0.0,45.0,52.3,7.0,8.1
1067,17124.0,17124.0,16939.0,98.9,16864.0,98.5,12064.0,70.5,4800.0,28.0,75.0,0.4,185.0,1.1,185.0,185.0,17.0,9.2,0.0,0.0,6.0,3.2,5.0,2.7,140.0,75.7,17.0,9.2
1069,104352.0,104352.0,101985.0,97.7,101046.0,96.8,69399.0,66.5,31647.0,30.3,939.0,0.9,2367.0,2.3,2367.0,2367.0,291.0,12.3,653.0,27.6,126.0,5.3,7.0,0.3,1241.0,52.4,49.0,2.1
1071,52094.0,52094.0,51195.0,98.3,51005.0,97.9,35111.0,67.4,15894.0,30.5,190.0,0.4,899.0,1.7,899.0,899.0,155.0,17.2,162.0,18.0,0.0,0.0,6.0,0.7,562.0,62.5,14.0,1.6
1073,659892.0,659892.0,633282.0,96.0,628921.0,95.3,496123.0,75.2,132798.0,20.1,4361.0,0.7,26610.0,4.0,26610.0,26610.0,2611.0,9.8,8894.0,33.4,2526.0,9.5,175.0,0.7,12004.0,45.1,400.0,1.5
1075,13933.0,13933.0,13847.0,99.4,13834.0,99.3,8002.0,57.4,5832.0,41.9,13.0,0.1,86.0,0.6,86.0,86.0,12.0,14.0,7.0,8.1,0.0,0.0,0.0,0.0,67.0,77.9,0.0,0.0
1077,92585.0,92585.0,90680.0,97.9,90248.0,97.5,65649.0,70.9,24599.0,26.6,432.0,0.5,1905.0,2.1,1905.0,1905.0,285.0,15.0,785.0,41.2,44.0,2.3,17.0,0.9,669.0,35.1,105.0,5.5
1079,33171.0,33171.0,32847.0,99.0,32830.0,99.0,27953.0,84.3,4877.0,14.7,17.0,0.1,324.0,1.0,324.0,324.0,51.0,15.7,31.0,9.6,0.0,0.0,0.0,0.0,242.0,74.7,0.0,0.0
1081,159287.0,159287.0,150602.0,94.5,148108.0,93.0,82197.0,51.6,65911.0,41.4,2494.0,1.6,8685.0,5.5,8685.0,8685.0,983.0,11.3,5415.0,62.3,361.0,4.2,124.0,1.4,1666.0,19.2,136.0,1.6
1083,93052.0,93052.0,89613.0,96.3,88627.0,95.2,59805.0,64.3,28822.0,31.0,986.0,1.1,3439.0,3.7,3439.0,3439.0,287.0,8.3,784.0,22.8,78.0,2.3,58.0,1.7,2106.0,61.2,126.0,3.7
1085,10236.0,10236.0,10204.0,99.7,10127.0,98.9,9247.0,90.3,880.0,8.6,77.0,0.8,32.0,0.3,32.0,32.0,11.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,21.0,65.6,0.0,0.0
1087,19054.0,19054.0,18853.0,98.9,18733.0,98.3,13884.0,72.9,4849.0,25.4,120.0,0.6,201.0,1.1,201.0,201.0,15.0,7.5,27.0,13.4,37.0,18.4,0.0,0.0,122.0,60.7,0.0,0.0
1089,357560.0,357560.0,337989.0,94.5,331090.0,92.6,191335.0,53.5,139755.0,39.1,6899.0,1.9,19571.0,5.5,19571.0,19571.0,2800.0,14.3,7466.0,38.1,1425.0,7.3,19.0,0.1,7134.0,36.5,727.0,3.7
1091,19538.0,19538.0,19451.0,99.6,19435.0,99.5,16818.0,86.1,2617.0,13.4,16.0,0.1,87.0,0.4,87.0,87.0,43.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,44.0,50.6,0.0,0.0
1093,29965.0,29965.0,29589.0,98.7,29549.0,98.6,21775.0,72.7,7774.0,25.9,40.0,0.1,376.0,1.3,376.0,376.0,51.0,13.6,63.0,16.8,0.0,0.0,7.0,1.9,248.0,66.0,7.0,1.9
1095,95145.0,95145.0,88900.0,93.4,88094.0,92.6,66488.0,69.9,21606.0,22.7,806.0,0.8,6245.0,6.6,6245.0,6245.0,259.0,4.1,481.0,7.7,94.0,1.5,17.0,0.3,5378.0,86.1,16.0,0.3
1097,414659.0,414659.0,401061.0,96.7,397629.0,95.9,304670.0,73.5,92959.0,22.4,3432.0,0.8,13598.0,3.3,13598.0,13598.0,1737.0,12.8,6389.0,47.0,761.0,5.6,72.0,0.5,4278.0,31.5,361.0,2.7
1099,21512.0,21512.0,21376.0,99.4,21362.0,99.3,18377.0,85.4,2985.0,13.9,14.0,0.1,136.0,0.6,136.0,136.0,37.0,27.2,65.0,47.8,0.0,0.0,0.0,0.0,24.0,17.6,10.0,7.4
