countyFIPS,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen
1001,1114.0,1114.0,579.0,52.0,535.0,48.0
1003,7170.0,7170.0,3319.0,46.3,3851.0,53.7
1005,646.0,646.0,280.0,43.3,366.0,56.7
1007,325.0,325.0,129.0,39.7,196.0,60.3
1009,2513.0,2513.0,876.0,34.9,1637.0,65.1
1011,96.0,96.0,96.0,100.0,0.0,0.0
1013,275.0,275.0,139.0,50.5,136.0,49.5
1015,3059.0,3059.0,1497.0,48.9,1562.0,51.1
1017,470.0,470.0,74.0,15.7,396.0,84.3
1019,205.0,205.0,130.0,63.4,75.0,36.6
1021,1970.0,1970.0,346.0,17.6,1624.0,82.4
1023,65.0,65.0,40.0,61.5,25.0,38.5
1025,93.0,93.0,67.0,72.0,26.0,28.0
1027,261.0,261.0,85.0,32.6,176.0,67.4
1029,225.0,225.0,48.0,21.3,177.0,78.7
1031,1840.0,1840.0,824.0,44.8,1016.0,55.2
1033,905.0,905.0,349.0,38.6,556.0,61.4
1035,89.0,89.0,32.0,36.0,57.0,64.0
1037,51.0,51.0,3.0,5.9,48.0,94.1
1039,278.0,278.0,141.0,50.7,137.0,49.3
1041,270.0,270.0,78.0,28.9,192.0,71.1
1043,1985.0,1985.0,746.0,37.6,1239.0,62.4
1045,1637.0,1637.0,704.0,43.0,933.0,57.0
1047,528.0,528.0,162.0,30.7,366.0,69.3
1049,5325.0,5325.0,980.0,18.4,4345.0,81.6
1051,1446.0,1446.0,676.0,46.7,770.0,53.3
1053,365.0,365.0,234.0,64.1,131.0,35.9
1055,2977.0,2977.0,1097.0,36.8,1880.0,63.2
1057,152.0,152.0,127.0,83.6,25.0,16.4
1059,2919.0,2919.0,505.0,17.3,2414.0,82.7
1061,406.0,406.0,172.0,42.4,234.0,57.6
1063,8.0,8.0,5.0,62.5,3.0,37.5
1065,86.0,86.0,57.0,66.3,29.0,33.7
1067,185.0,185.0,44.0,23.8,141.0,76.2
1069,2367.0,2367.0,1129.0,47.7,1238.0,52.3
1071,899.0,899.0,451.0,50.2,448.0,49.8
1073,26610.0,26610.0,8951.0,33.6,17659.0,66.4
1075,86.0,86.0,18.0,20.9,68.0,79.1
1077,1905.0,1905.0,668.0,35.1,1237.0,64.9
1079,324.0,324.0,104.0,32.1,220.0,67.9
1081,8685.0,8685.0,2693.0,31.0,5992.0,69.0
1083,3439.0,3439.0,1402.0,40.8,2037.0,59.2
1085,32.0,32.0,17.0,53.1,15.0,46.9
1087,201.0,201.0,82.0,40.8,119.0,59.2
1089,19571.0,19571.0,9690.0,49.5,9881.0,50.5
1091,87.0,87.0,12.0,13.8,75.0,86.2
1093,376.0,376.0,186.0,49.5,190.0,50.5
1095,6245.0,6245.0,1165.0,18.7,5080.0,81.3
1097,13598.0,13598.0,7186.0,52.8,6412.0,47.2
1099,136.0,136.0,97.0,71.3,39.0,28.7
1101,10619.0,10619.0,3764.0,35.4,6855.0,64.6
1103,5047.0,5047.0,1281.0,25.4,3766.0,74.6
1105,143.0,143.0,85.0,59.4,58.0,40.6
1107,663.0,663.0,63.0,9.5,600.0,90.5
