countyFIPS,Estimate!!COMPUTERS AND INTERNET USE!!Total households,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a computer,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a computer,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
1001,21115.0,21115.0,18368.0,87.0,16651.0,78.9
1003,78622.0,78622.0,69635.0,88.6,61424.0,78.1
1005,9186.0,9186.0,6986.0,76.1,5548.0,60.4
1007,6840.0,6840.0,5217.0,76.3,4521.0,66.1
1009,20600.0,20600.0,16202.0,78.7,14103.0,68.5
1011,3609.0,3609.0,2631.0,72.9,2124.0,58.9
1013,6708.0,6708.0,4703.0,70.1,4169.0,62.1
1015,45033.0,45033.0,38124.0,84.7,32866.0,73.0
1017,13516.0,13516.0,10240.0,75.8,8985.0,66.5
1019,10606.0,10606.0,8495.0,80.1,7271.0,68.6
1021,16751.0,16751.0,13072.0,78.0,10357.0,61.8
1023,5350.0,5350.0,3962.0,74.1,3118.0,58.3
1025,9358.0,9358.0,6109.0,65.3,4977.0,53.2
1027,5236.0,5236.0,4130.0,78.9,3570.0,68.2
1029,5726.0,5726.0,4574.0,79.9,3459.0,60.4
1031,19789.0,19789.0,16922.0,85.5,15347.0,77.6
1033,21799.0,21799.0,17745.0,81.4,14868.0,68.2
1035,4574.0,4574.0,2634.0,57.6,2159.0,47.2
1037,4103.0,4103.0,3085.0,75.2,2640.0,64.3
1039,15008.0,15008.0,11491.0,76.6,10299.0,68.6
1041,5025.0,5025.0,3562.0,70.9,2997.0,59.6
1043,30730.0,30730.0,24987.0,81.3,21488.0,69.9
1045,18670.0,18670.0,15756.0,84.4,13610.0,72.9
1047,16336.0,16336.0,11723.0,71.8,10351.0,63.4
1049,26132.0,26132.0,20639.0,79.0,17510.0,67.0
1051,29143.0,29143.0,25249.0,86.6,23204.0,79.6
1053,13428.0,13428.0,8778.0,65.4,7688.0,57.3
1055,38777.0,38777.0,32325.0,83.4,28479.0,73.4
1057,6947.0,6947.0,5408.0,77.8,4785.0,68.9
1059,11210.0,11210.0,8026.0,71.6,6688.0,59.7
1061,10479.0,10479.0,8362.0,79.8,7006.0,66.9
1063,2955.0,2955.0,1631.0,55.2,1365.0,46.2
1065,5658.0,5658.0,3713.0,65.6,3106.0,54.9
1067,6669.0,6669.0,5402.0,81.0,4813.0,72.2
1069,39253.0,39253.0,31438.0,80.1,27635.0,70.4
1071,20626.0,20626.0,16151.0,78.3,13836.0,67.1
1073,260924.0,260924.0,224867.0,86.2,199423.0,76.4
1075,5974.0,5974.0,4583.0,76.7,3761.0,63.0
1077,38514.0,38514.0,31102.0,80.8,26448.0,68.7
1079,12811.0,12811.0,9740.0,76.0,7590.0,59.2
1081,59373.0,59373.0,53634.0,90.3,47704.0,80.3
1083,32126.0,32126.0,27556.0,85.8,24612.0,76.6
1085,4180.0,4180.0,2769.0,66.2,2066.0,49.4
1087,7637.0,7637.0,5615.0,73.5,4263.0,55.8
1089,145256.0,145256.0,131997.0,90.9,121870.0,83.9
1091,7768.0,7768.0,5239.0,67.4,4128.0,53.1
1093,12212.0,12212.0,9472.0,77.6,7892.0,64.6
1095,34896.0,34896.0,28801.0,82.5,25992.0,74.5
1097,155831.0,155831.0,128605.0,82.5,112538.0,72.2
1099,8149.0,8149.0,4107.0,50.4,3393.0,41.6
1101,89835.0,89835.0,77208.0,85.9,69495.0,77.4
1103,45646.0,45646.0,38314.0,83.9,33214.0,72.8
1105,3079.0,3079.0,1722.0,55.9,1424.0,46.2
1107,7530.0,7530.0,5487.0,72.9,4726.0,62.8
1109,11547.0,11547.0,8006.0,69.3,6837.0,59.2
1111,8643.0,8643.0,6878.0,79.6,5956.0,68.9
1113,22740.0,22740.0,18755.0,82.5,15059.0,66.2
1115,32172.0,32172.0,27482.0,85.4,24182.0,75.2
1117,78328.0,78328.0,73069.0,93.3,67642.0,86.4
1119,5047.0,5047.0,3571.0,70.8,2920.0,57.9
1121,31407.0,31407.0,25433.0,81.0,21925.0,69.8
1123,16448.0,16448.0,13130.0,79.8,11509.0,70.0
1125,72379.0,72379.0,62598.0,86.5,56485.0,78.0
1127,25036.0,25036.0,20022.0,80.0,17023.0,68.0
1129,6007.0,6007.0,4566.0,76.0,3505.0,58.3
1131,3804.0,3804.0,2373.0,62.4,1873.0,49.2
1133,9403.0,9403.0,7120.0,75.7,5846.0,62.2
2013,860.0,860.0,744.0,86.5,579.0,67.3
2016,1176.0,1176.0,1090.0,92.7,890.0,75.7
2020,106524.0,106524.0,101673.0,95.4,94486.0,88.7
2050,4558.0,4558.0,3914.0,85.9,3294.0,72.3
2060,333.0,333.0,308.0,92.5,271.0,81.4
2068,639.0,639.0,606.0,94.8,566.0,88.6
2070,1420.0,1420.0,1231.0,86.7,1083.0,76.3
2090,36513.0,36513.0,34686.0,95.0,30948.0,84.8
2100,1026.0,1026.0,983.0,95.8,897.0,87.4
2105,799.0,799.0,672.0,84.1,562.0,70.3
2110,12521.0,12521.0,11896.0,95.0,11116.0,88.8
2122,21741.0,21741.0,19583.0,90.1,16767.0,77.1
2130,5327.0,5327.0,4884.0,91.7,4452.0,83.6
2150,4373.0,4373.0,3904.0,89.3,3608.0,82.5
2158,1692.0,1692.0,1353.0,80.0,1058.0,62.5
2164,425.0,425.0,352.0,82.8,260.0,61.2
2170,30879.0,30879.0,29098.0,94.2,26612.0,86.2
2180,2875.0,2875.0,2550.0,88.7,2069.0,72.0
2185,1966.0,1966.0,1661.0,84.5,1330.0,67.7
2188,1860.0,1860.0,1529.0,82.2,1304.0,70.1
2195,1170.0,1170.0,1061.0,90.7,914.0,78.1
2198,2356.0,2356.0,2015.0,85.5,1574.0,66.8
2220,3561.0,3561.0,3293.0,92.5,2956.0,83.0
2230,400.0,400.0,385.0,96.3,342.0,85.5
2240,2163.0,2163.0,1938.0,89.6,1552.0,71.8
2261,3093.0,3093.0,2824.0,91.3,2448.0,79.1
2275,1074.0,1074.0,888.0,82.7,770.0,71.7
2282,232.0,232.0,210.0,90.5,162.0,69.8
2290,1906.0,1906.0,1267.0,66.5,832.0,43.7
4001,20395.0,20395.0,11220.0,55.0,7746.0,38.0
4003,49250.0,49250.0,42728.0,86.8,38522.0,78.2
4005,47276.0,47276.0,42098.0,89.0,36596.0,77.4
4007,21708.0,21708.0,17469.0,80.5,13345.0,61.5
4009,10782.0,10782.0,9363.0,86.8,7752.0,71.9
4011,3225.0,3225.0,2882.0,89.4,2455.0,76.1
4012,8912.0,8912.0,6815.0,76.5,5405.0,60.6
4013,1520767.0,1520767.0,1391290.0,91.5,1278321.0,84.1
4015,85485.0,85485.0,73527.0,86.0,66841.0,78.2
4017,34407.0,34407.0,25746.0,74.8,20872.0,60.7
4019,400907.0,400907.0,364714.0,91.0,333218.0,83.1
4021,137286.0,137286.0,121980.0,88.9,110464.0,80.5
4023,15430.0,15430.0,12538.0,81.3,10683.0,69.2
4025,96007.0,96007.0,86137.0,89.7,76891.0,80.1
4027,72463.0,72463.0,60556.0,83.6,55280.0,76.3
5001,7682.0,7682.0,6067.0,79.0,4828.0,62.8
5003,7915.0,7915.0,6003.0,75.8,4787.0,60.5
5005,18370.0,18370.0,15352.0,83.6,13007.0,70.8
5007,94333.0,94333.0,86384.0,91.6,61145.0,64.8
5009,14870.0,14870.0,12611.0,84.8,11552.0,77.7
5011,4537.0,4537.0,3527.0,77.7,2848.0,62.8
5013,1936.0,1936.0,1443.0,74.5,1146.0,59.2
5015,11161.0,11161.0,9272.0,83.1,7329.0,65.7
5017,4308.0,4308.0,3127.0,72.6,2617.0,60.7
5019,8505.0,8505.0,6968.0,81.9,5719.0,67.2
5021,6441.0,6441.0,4949.0,76.8,4094.0,63.6
5023,10731.0,10731.0,8846.0,82.4,7628.0,71.1
5025,3292.0,3292.0,2566.0,77.9,1823.0,55.4
5027,8962.0,8962.0,6356.0,70.9,5341.0,59.6
5029,8475.0,8475.0,6592.0,77.8,5139.0,60.6
5031,40800.0,40800.0,36410.0,89.2,32183.0,78.9
5033,23701.0,23701.0,19701.0,83.1,16665.0,70.3
5035,18756.0,18756.0,14963.0,79.8,13402.0,71.5
5037,6694.0,6694.0,5141.0,76.8,4425.0,66.1
5039,3033.0,3033.0,2324.0,76.6,1757.0,57.9
5041,5111.0,5111.0,3834.0,75.0,2512.0,49.1
5043,7018.0,7018.0,5671.0,80.8,4699.0,67.0
5045,44095.0,44095.0,39257.0,89.0,33735.0,76.5
5047,6800.0,6800.0,5313.0,78.1,4129.0,60.7
5049,5000.0,5000.0,4140.0,82.8,2913.0,58.3
5051,39894.0,39894.0,34533.0,86.6,30302.0,76.0
5053,6780.0,6780.0,5942.0,87.6,4940.0,72.9
5055,16879.0,16879.0,14378.0,85.2,12650.0,74.9
5057,7971.0,7971.0,6231.0,78.2,5360.0,67.2
5059,12377.0,12377.0,9979.0,80.6,7989.0,64.5
5061,5096.0,5096.0,3990.0,78.3,3234.0,63.5
5063,14268.0,14268.0,11759.0,82.4,8794.0,61.6
5065,5049.0,5049.0,4285.0,84.9,2889.0,57.2
5067,6095.0,6095.0,4482.0,73.5,3795.0,62.3
5069,26977.0,26977.0,21841.0,81.0,15198.0,56.3
5071,9800.0,9800.0,7737.0,78.9,6374.0,65.0
5073,2859.0,2859.0,1969.0,68.9,1586.0,55.5
5075,6531.0,6531.0,5087.0,77.9,4159.0,63.7
5077,3352.0,3352.0,2308.0,68.9,1751.0,52.2
5079,3795.0,3795.0,2904.0,76.5,2196.0,57.9
5081,5440.0,5440.0,4404.0,81.0,3406.0,62.6
5083,8464.0,8464.0,7066.0,83.5,5858.0,69.2
5085,26868.0,26868.0,23430.0,87.2,20811.0,77.5
5087,6195.0,6195.0,4790.0,77.3,3788.0,61.1
5089,6669.0,6669.0,5590.0,83.8,4936.0,74.0
5091,16748.0,16748.0,14029.0,83.8,12117.0,72.3
5093,16888.0,16888.0,13711.0,81.2,11203.0,66.3
5095,3326.0,3326.0,2394.0,72.0,1841.0,55.4
5097,3761.0,3761.0,2818.0,74.9,2196.0,58.4
