countyFIPS,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
1001,37166.0,37166.0,956.0,2.6,3248.0,8.7,12119.0,32.6,7554.0,20.3,2998.0,8.1,5903.0,15.9,4388.0,11.8,32962.0,88.7,10291.0,27.7
1003,146989.0,146989.0,3978.0,2.7,10332.0,7.0,40579.0,27.6,32266.0,22.0,13759.0,9.4,30431.0,20.7,15644.0,10.6,132679.0,90.3,46075.0,31.3
1005,18173.0,18173.0,1490.0,8.2,3411.0,18.8,6486.0,35.7,3287.0,18.1,1279.0,7.0,1417.0,7.8,803.0,4.4,13272.0,73.0,2220.0,12.2
1007,15780.0,15780.0,903.0,5.7,1747.0,11.1,7471.0,47.3,2938.0,18.6,908.0,5.8,1197.0,7.6,616.0,3.9,13130.0,83.2,1813.0,11.5
1009,39627.0,39627.0,2967.0,7.5,4894.0,12.4,13489.0,34.0,8492.0,21.4,4775.0,12.0,3217.0,8.1,1793.0,4.5,31766.0,80.2,5010.0,12.6
1011,7104.0,7104.0,346.0,4.9,1414.0,19.9,2817.0,39.7,1205.0,17.0,377.0,5.3,526.0,7.4,419.0,5.9,5344.0,75.2,945.0,13.3
1013,13888.0,13888.0,587.0,4.2,1554.0,11.2,6091.0,43.9,2346.0,16.9,1075.0,7.7,1344.0,9.7,891.0,6.4,11747.0,84.6,2235.0,16.1
1015,79135.0,79135.0,4012.0,5.1,8608.0,10.9,25653.0,32.4,20474.0,25.9,6169.0,7.8,8060.0,10.2,6159.0,7.8,66515.0,84.1,14219.0,18.0
1017,23564.0,23564.0,1352.0,5.7,3031.0,12.9,9060.0,38.4,4985.0,21.2,2018.0,8.6,2200.0,9.3,918.0,3.9,19181.0,81.4,3118.0,13.2
1019,18673.0,18673.0,1393.0,7.5,2299.0,12.3,7157.0,38.3,4001.0,21.4,1416.0,7.6,1273.0,6.8,1134.0,6.1,14981.0,80.2,2407.0,12.9
