countyFIPS,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force
1001,43368,43368,25736,59.3,25189,58.1,24124,55.6,1065,2.5,547,1.3,17632,40.7,25189,25189,(X),4.2,22458,22458,11709,52.1,11661,51.9,11263,50.2,3777,3777,2025,53.6,8961,8961,6176,68.9
1003,167712,167712,98030,58.5,97722,58.3,93379,55.7,4343,2.6,308,0.2,69682,41.5,97722,97722,(X),4.4,86912,86912,47115,54.2,47045,54.1,45096,51.9,13362,13362,8128,60.8,29987,29987,22021,73.4
1005,20948,20948,9638,46.0,9638,46.0,8720,41.6,918,4.4,0,0.0,11310,54.0,9638,9638,(X),9.5,9764,9764,4533,46.4,4533,46.4,4104,42.0,1557,1557,809,52.0,3416,3416,2227,65.2
1007,18470,18470,8757,47.4,8757,47.4,8099,43.8,658,3.6,0,0.0,9713,52.6,8757,8757,(X),7.5,8546,8546,3995,46.7,3995,46.7,3635,42.5,1511,1511,837,55.4,2887,2887,2054,71.1
1009,45915,45915,22306,48.6,22255,48.5,21346,46.5,909,2.0,51,0.1,23609,51.4,22255,22255,(X),4.1,23360,23360,9789,41.9,9771,41.8,9304,39.8,3821,3821,2127,55.7,8851,8851,4568,51.6
1011,8413,8413,4430,52.7,4430,52.7,3940,46.8,490,5.8,0,0.0,3983,47.3,4430,4430,(X),11.1,3754,3754,1791,47.7,1791,47.7,1663,44.3,608,608,270,44.4,1348,1348,715,53.0
1013,15970,15970,8464,53.0,8452,52.9,7885,49.4,567,3.6,12,0.1,7506,47.0,8452,8452,(X),6.7,8729,8729,4464,51.1,4457,51.1,4196,48.1,1387,1387,1101,79.4,2828,2828,2283,80.7
1015,93023,93023,53078,57.1,52785,56.7,48157,51.8,4628,5.0,293,0.3,39945,42.9,52785,52785,(X),8.8,48908,48908,25387,51.9,25379,51.9,22809,46.6,7615,7615,4891,64.2,15251,15251,10906,71.5
1017,27656,27656,15571,56.3,15559,56.3,14786,53.5,773,2.8,12,0.0,12085,43.7,15559,15559,(X),5.0,14570,14570,7377,50.6,7365,50.5,7052,48.4,2055,2055,1433,69.7,4218,4218,3193,75.7
1019,21349,21349,10386,48.6,10386,48.6,9805,45.9,581,2.7,0,0.0,10963,51.4,10386,10386,(X),5.6,10784,10784,4440,41.2,4440,41.2,4283,39.7,1287,1287,984,76.5,3645,3645,2385,65.4
1021,34516,34516,18836,54.6,18836,54.6,17500,50.7,1336,3.9,0,0.0,15680,45.4,18836,18836,(X),7.1,17604,17604,8374,47.6,8374,47.6,7963,45.2,3089,3089,1769,57.3,6890,6890,4628,67.2
1023,10800,10800,4768,44.1,4768,44.1,4264,39.5,504,4.7,0,0.0,6032,55.9,4768,4768,(X),10.6,5721,5721,2133,37.3,2133,37.3,1951,34.1,646,646,330,51.1,1722,1722,746,43.3
