countyFIPS,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
1001,878.0,878.0,285.0,32.5,47,(X),65.0,(X),28,(X),128.0,(X),23,(X)
1003,1983.0,1983.0,605.0,30.5,26,(X),44.0,(X),10,(X),66.0,(X),36,(X)
1005,382.0,382.0,172.0,45.0,58,(X),79.0,(X),16,(X),166.0,(X),12,(X)
1007,465.0,465.0,272.0,58.5,107,(X),96.0,(X),36,(X),164.0,(X),52,(X)
1009,665.0,665.0,218.0,32.8,43,(X),52.0,(X),43,(X),86.0,(X),27,(X)
1011,85.0,85.0,85.0,100.0,60,(X),43.0,(X),0,(X),124.0,(X),0,(X)
1013,250.0,250.0,183.0,73.2,64,(X),55.0,(X),47,(X),111.0,(X),10,(X)
1015,1692.0,1692.0,706.0,41.7,48,(X),63.0,(X),10,(X),126.0,(X),17,(X)
1017,334.0,334.0,188.0,56.3,43,(X),44.0,(X),27,(X),88.0,(X),10,(X)
1019,331.0,331.0,62.0,18.7,28,(X),64.0,(X),46,(X),144.0,(X),8,(X)
1021,376.0,376.0,104.0,27.7,22,(X),38.0,(X),3,(X),83.0,(X),5,(X)
1023,134.0,134.0,70.0,52.2,47,(X),50.0,(X),31,(X),82.0,(X),30,(X)
1025,118.0,118.0,38.0,32.2,12,(X),21.0,(X),17,(X),45.0,(X),3,(X)
1027,96.0,96.0,54.0,56.3,39,(X),34.0,(X),0,(X),80.0,(X),0,(X)
1029,95.0,95.0,5.0,5.3,4,(X),30.0,(X),0,(X),59.0,(X),14,(X)
1031,522.0,522.0,187.0,35.8,34,(X),45.0,(X),3,(X),104.0,(X),5,(X)
1033,525.0,525.0,137.0,26.1,23,(X),43.0,(X),5,(X),98.0,(X),6,(X)
1035,137.0,137.0,20.0,14.6,11,(X),53.0,(X),39,(X),81.0,(X),42,(X)
1037,118.0,118.0,72.0,61.0,57,(X),53.0,(X),0,(X),55.0,(X),65,(X)
1039,504.0,504.0,234.0,46.4,61,(X),66.0,(X),9,(X),122.0,(X),31,(X)
1041,225.0,225.0,126.0,56.0,71,(X),75.0,(X),39,(X),166.0,(X),9,(X)
1043,516.0,516.0,98.0,19.0,12,(X),29.0,(X),6,(X),57.0,(X),10,(X)
1045,780.0,780.0,261.0,33.5,45,(X),69.0,(X),28,(X),139.0,(X),11,(X)
1047,745.0,745.0,566.0,76.0,89,(X),79.0,(X),36,(X),161.0,(X),14,(X)
1049,996.0,996.0,382.0,38.4,49,(X),63.0,(X),18,(X),137.0,(X),13,(X)
1051,1197.0,1197.0,679.0,56.7,66,(X),59.0,(X),0,(X),120.0,(X),21,(X)
1053,544.0,544.0,306.0,56.3,66,(X),70.0,(X),31,(X),151.0,(X),6,(X)
1055,1106.0,1106.0,567.0,51.3,46,(X),47.0,(X),27,(X),106.0,(X),4,(X)
1057,176.0,176.0,26.0,14.8,16,(X),49.0,(X),0,(X),79.0,(X),40,(X)
1059,208.0,208.0,121.0,58.2,33,(X),29.0,(X),22,(X),39.0,(X),23,(X)
1061,299.0,299.0,85.0,28.4,31,(X),53.0,(X),47,(X),87.0,(X),25,(X)
1063,77.0,77.0,39.0,50.6,28,(X),42.0,(X),0,(X),105.0,(X),0,(X)
1065,227.0,227.0,162.0,71.4,64,(X),67.0,(X),22,(X),137.0,(X),23,(X)
1067,145.0,145.0,18.0,12.4,9,(X),40.0,(X),0,(X),104.0,(X),1,(X)
1069,1403.0,1403.0,716.0,51.0,50,(X),58.0,(X),40,(X),106.0,(X),18,(X)
1071,865.0,865.0,283.0,32.7,58,(X),77.0,(X),51,(X),171.0,(X),10,(X)
1073,8764.0,8764.0,3757.0,42.9,39,(X),54.0,(X),14,(X),95.0,(X),25,(X)
1075,105.0,105.0,33.0,31.4,27,(X),37.0,(X),0,(X),95.0,(X),1,(X)
1077,1067.0,1067.0,321.0,30.1,27,(X),50.0,(X),21,(X),100.0,(X),6,(X)
1079,333.0,333.0,52.0,15.6,16,(X),45.0,(X),31,(X),76.0,(X),24,(X)
1081,2091.0,2091.0,779.0,37.3,29,(X),47.0,(X),10,(X),77.0,(X),20,(X)
1083,1083.0,1083.0,537.0,49.6,48,(X),51.0,(X),15,(X),116.0,(X),7,(X)
1085,127.0,127.0,75.0,59.1,52,(X),56.0,(X),0,(X),115.0,(X),11,(X)
1087,134.0,134.0,104.0,77.6,28,(X),28.0,(X),1,(X),46.0,(X),18,(X)
1089,4462.0,4462.0,1740.0,39.0,37,(X),52.0,(X),14,(X),95.0,(X),21,(X)
1091,103.0,103.0,25.0,24.3,9,(X),24.0,(X),7,(X),30.0,(X),24,(X)
1093,225.0,225.0,88.0,39.1,32,(X),36.0,(X),46,(X),65.0,(X),8,(X)
1095,1130.0,1130.0,348.0,30.8,34,(X),54.0,(X),27,(X),103.0,(X),20,(X)
1097,5910.0,5910.0,2505.0,42.4,43,(X),59.0,(X),15,(X),106.0,(X),24,(X)
1099,195.0,195.0,46.0,23.6,17,(X),40.0,(X),21,(X),75.0,(X),17,(X)
1101,3093.0,3093.0,1890.0,61.1,50,(X),54.0,(X),21,(X),92.0,(X),24,(X)
1103,1168.0,1168.0,365.0,31.3,28,(X),44.0,(X),10,(X),89.0,(X),16,(X)
1105,32.0,32.0,23.0,71.9,12,(X),14.0,(X),0,(X),35.0,(X),0,(X)
1107,265.0,265.0,97.0,36.6,36,(X),55.0,(X),0,(X),90.0,(X),41,(X)
1109,551.0,551.0,278.0,50.5,41,(X),59.0,(X),0,(X),108.0,(X),10,(X)
1111,232.0,232.0,133.0,57.3,50,(X),48.0,(X),86,(X),71.0,(X),17,(X)
