countyFIPS,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married
1001,1109.0,1109.0,670.0,60.4,98.0,8.8,184.0,16.6,68.0,6.1,320.0,28.9,670.0,670.0,398.0,59.4,485.0,72.4
1003,4077.0,4077.0,2084.0,51.1,473.0,11.6,299.0,7.3,445.0,10.9,867.0,21.3,2084.0,2084.0,1265.0,60.7,1473.0,70.7
1005,766.0,766.0,361.0,47.1,55.0,7.2,43.0,5.6,110.0,14.4,153.0,20.0,361.0,361.0,261.0,72.3,232.0,64.3
1007,724.0,724.0,545.0,75.3,169.0,23.3,18.0,2.5,134.0,18.5,224.0,30.9,545.0,545.0,333.0,61.1,426.0,78.2
1009,1642.0,1642.0,882.0,53.7,141.0,8.6,71.0,4.3,187.0,11.4,483.0,29.4,882.0,882.0,496.0,56.2,787.0,89.2
1011,177.0,177.0,87.0,49.2,25.0,14.1,0.0,0.0,2.0,1.1,60.0,33.9,87.0,87.0,72.0,82.8,48.0,55.2
1013,361.0,361.0,264.0,73.1,44.0,12.2,4.0,1.1,58.0,16.1,158.0,43.8,264.0,264.0,207.0,78.4,138.0,52.3
1015,3695.0,3695.0,1998.0,54.1,341.0,9.2,391.0,10.6,150.0,4.1,1116.0,30.2,1998.0,1998.0,1461.0,73.1,1132.0,56.7
1017,1055.0,1055.0,647.0,61.3,62.0,5.9,90.0,8.5,166.0,15.7,329.0,31.2,647.0,647.0,377.0,58.3,465.0,71.9
1019,702.0,702.0,388.0,55.3,23.0,3.3,110.0,15.7,59.0,8.4,196.0,27.9,388.0,388.0,228.0,58.8,349.0,89.9
1021,1055.0,1055.0,493.0,46.7,52.0,4.9,79.0,7.5,127.0,12.0,235.0,22.3,493.0,493.0,349.0,70.8,325.0,65.9
1023,592.0,592.0,389.0,65.7,52.0,8.8,64.0,10.8,85.0,14.4,188.0,31.8,389.0,389.0,280.0,72.0,226.0,58.1
