countyFIPS,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than very well""""",Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than very well""""",Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than very well""""",Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than very well""""",Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than very well"""""
1001,51937.0,51937.0,49940.0,96.2,1997.0,3.8,697.0,1.3,1118.0,2.2,390.0,0.8,256.0,0.5,15.0,0.0,613.0,1.2,292.0,0.6,10.0,0.0,0.0,0.0
1003,196498.0,196498.0,185902.0,94.6,10596.0,5.4,3306.0,1.7,7528.0,3.8,2380.0,1.2,2059.0,1.0,308.0,0.2,961.0,0.5,618.0,0.3,48.0,0.0,0.0,0.0
1005,24392.0,24392.0,22897.0,93.9,1495.0,6.1,582.0,2.4,1232.0,5.1,469.0,1.9,142.0,0.6,52.0,0.2,78.0,0.3,61.0,0.3,43.0,0.2,0.0,0.0
1007,21252.0,21252.0,20749.0,97.6,503.0,2.4,269.0,1.3,433.0,2.0,269.0,1.3,66.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1009,54160.0,54160.0,49847.0,92.0,4313.0,8.0,1789.0,3.3,4019.0,7.4,1722.0,3.2,197.0,0.4,29.0,0.1,47.0,0.1,12.0,0.0,50.0,0.1,26.0,0.0
1011,9756.0,9756.0,9570.0,98.1,186.0,1.9,81.0,0.8,101.0,1.0,60.0,0.6,55.0,0.6,21.0,0.2,23.0,0.2,0.0,0.0,7.0,0.1,0.0,0.0
1013,18820.0,18820.0,18548.0,98.6,272.0,1.4,113.0,0.6,79.0,0.4,13.0,0.1,82.0,0.4,10.0,0.1,111.0,0.6,90.0,0.5,0.0,0.0,0.0,0.0
1015,108536.0,108536.0,103998.0,95.8,4538.0,4.2,1782.0,1.6,3337.0,3.1,1295.0,1.2,572.0,0.5,175.0,0.2,553.0,0.5,312.0,0.3,76.0,0.1,0.0,0.0
1017,31876.0,31876.0,31178.0,97.8,698.0,2.2,263.0,0.8,343.0,1.1,64.0,0.2,87.0,0.3,37.0,0.1,268.0,0.8,162.0,0.5,0.0,0.0,0.0,0.0
1019,24649.0,24649.0,24347.0,98.8,302.0,1.2,130.0,0.5,215.0,0.9,118.0,0.5,23.0,0.1,12.0,0.0,25.0,0.1,0.0,0.0,39.0,0.2,0.0,0.0
1021,41163.0,41163.0,38144.0,92.7,3019.0,7.3,1367.0,3.3,2745.0,6.7,1278.0,3.1,99.0,0.2,49.0,0.1,175.0,0.4,40.0,0.1,0.0,0.0,0.0,0.0
