countyFIPS,Estimate!!HOUSEHOLDS BY TYPE!!Total households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size
1001,21115.0,21115.0,15161.0,71.8,6787.0,32.1,11988.0,56.8,5201.0,24.6,768.0,3.6,373.0,1.8,2405.0,11.4,1213.0,5.7,5954.0,28.2,5303.0,25.1,2226.0,10.5,7618.0,36.1,5730.0,27.1,2.59,(X),3.12,(X)
1003,78622.0,78622.0,51359.0,65.3,18035.0,22.9,41452.0,52.7,13527.0,17.2,2422.0,3.1,1094.0,1.4,7485.0,9.5,3414.0,4.3,27263.0,34.7,23893.0,30.4,10093.0,12.8,20638.0,26.2,27491.0,35.0,2.61,(X),3.29,(X)
1005,9186.0,9186.0,6030.0,65.6,2423.0,26.4,3908.0,42.5,1249.0,13.6,346.0,3.8,169.0,1.8,1776.0,19.3,1005.0,10.9,3156.0,34.4,2990.0,32.5,1333.0,14.5,2908.0,31.7,3325.0,36.2,2.49,(X),3.16,(X)
1007,6840.0,6840.0,4947.0,72.3,1728.0,25.3,3626.0,53.0,1321.0,19.3,387.0,5.7,80.0,1.2,934.0,13.7,327.0,4.8,1893.0,27.7,1776.0,26.0,885.0,12.9,1995.0,29.2,2419.0,35.4,2.99,(X),3.59,(X)
1009,20600.0,20600.0,15104.0,73.3,5566.0,27.0,11942.0,58.0,4129.0,20.0,1185.0,5.8,488.0,2.4,1977.0,9.6,949.0,4.6,5496.0,26.7,5090.0,24.7,2276.0,11.0,6418.0,31.2,6659.0,32.3,2.77,(X),3.32,(X)
1011,3609.0,3609.0,2481.0,68.7,1128.0,31.3,1408.0,39.0,423.0,11.7,190.0,5.3,154.0,4.3,883.0,24.5,551.0,15.3,1128.0,31.3,1069.0,29.6,388.0,10.8,1292.0,35.8,1059.0,29.3,2.75,(X),3.43,(X)
1013,6708.0,6708.0,4429.0,66.0,1564.0,23.3,2986.0,44.5,860.0,12.8,204.0,3.0,92.0,1.4,1239.0,18.5,612.0,9.1,2279.0,34.0,2046.0,30.5,825.0,12.3,1867.0,27.8,2231.0,33.3,2.94,(X),3.69,(X)
1015,45033.0,45033.0,30833.0,68.5,11798.0,26.2,21495.0,47.7,7097.0,15.8,1971.0,4.4,871.0,1.9,7367.0,16.4,3830.0,8.5,14200.0,31.5,12067.0,26.8,4892.0,10.9,14099.0,31.3,13834.0,30.7,2.49,(X),2.98,(X)
1017,13516.0,13516.0,8659.0,64.1,2825.0,20.9,5713.0,42.3,1518.0,11.2,784.0,5.8,253.0,1.9,2162.0,16.0,1054.0,7.8,4857.0,35.9,4274.0,31.6,1735.0,12.8,3494.0,25.9,4558.0,33.7,2.46,(X),3.1,(X)
1019,10606.0,10606.0,7332.0,69.1,2416.0,22.8,6062.0,57.2,1922.0,18.1,251.0,2.4,61.0,0.6,1019.0,9.6,433.0,4.1,3274.0,30.9,2998.0,28.3,1276.0,12.0,2889.0,27.2,3861.0,36.4,2.41,(X),2.96,(X)
