countyFIPS,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
1001,13435.0,13435.0,488.0,3.6,1202.0,8.9,5832.0,43.4,3245.0,24.2,2668.0,19.9
1003,45076.0,45076.0,2857.0,6.3,2105.0,4.7,21488.0,47.7,10456.0,23.2,8170.0,18.1
1005,5216.0,5216.0,278.0,5.3,309.0,5.9,2386.0,45.7,1424.0,27.3,819.0,15.7
1007,4424.0,4424.0,136.0,3.1,274.0,6.2,2076.0,46.9,1169.0,26.4,769.0,17.4
1009,12220.0,12220.0,448.0,3.7,542.0,4.4,6062.0,49.6,3180.0,26.0,1988.0,16.3
1011,2247.0,2247.0,159.0,7.1,114.0,5.1,881.0,39.2,712.0,31.7,381.0,17.0
1013,4147.0,4147.0,237.0,5.7,235.0,5.7,1925.0,46.4,1167.0,28.1,583.0,14.1
1015,27368.0,27368.0,1616.0,5.9,1425.0,5.2,11469.0,41.9,5607.0,20.5,7251.0,26.5
1017,7323.0,7323.0,482.0,6.6,189.0,2.6,3307.0,45.2,1585.0,21.6,1760.0,24.0
1019,5157.0,5157.0,190.0,3.7,242.0,4.7,2424.0,47.0,1531.0,29.7,770.0,14.9
1021,9862.0,9862.0,573.0,5.8,675.0,6.8,4559.0,46.2,2556.0,25.9,1499.0,15.2
1023,2585.0,2585.0,112.0,4.3,130.0,5.0,1229.0,47.5,648.0,25.1,466.0,18.0
1025,5003.0,5003.0,339.0,6.8,192.0,3.8,2434.0,48.7,1346.0,26.9,692.0,13.8
1027,2962.0,2962.0,137.0,4.6,164.0,5.5,1318.0,44.5,797.0,26.9,546.0,18.4
1029,3325.0,3325.0,275.0,8.3,274.0,8.2,1651.0,49.7,750.0,22.6,375.0,11.3
1031,12117.0,12117.0,616.0,5.1,680.0,5.6,5545.0,45.8,2908.0,24.0,2368.0,19.5
1033,10987.0,10987.0,505.0,4.6,545.0,5.0,5228.0,47.6,2642.0,24.0,2067.0,18.8
1035,2565.0,2565.0,60.0,2.3,106.0,4.1,1285.0,50.1,659.0,25.7,455.0,17.7
1037,1770.0,1770.0,60.0,3.4,88.0,5.0,964.0,54.5,425.0,24.0,233.0,13.2
1039,7605.0,7605.0,426.0,5.6,569.0,7.5,3764.0,49.5,1685.0,22.2,1161.0,15.3
1041,2987.0,2987.0,78.0,2.6,160.0,5.4,1553.0,52.0,709.0,23.7,487.0,16.3
1043,16944.0,16944.0,746.0,4.4,727.0,4.3,8430.0,49.8,4293.0,25.3,2748.0,16.2
1045,11658.0,11658.0,787.0,6.8,571.0,4.9,5118.0,43.9,2618.0,22.5,2564.0,22.0
1047,10095.0,10095.0,566.0,5.6,567.0,5.6,4392.0,43.5,2448.0,24.2,2122.0,21.0
1049,16165.0,16165.0,525.0,3.2,1017.0,6.3,8003.0,49.5,4088.0,25.3,2532.0,15.7
1051,18454.0,18454.0,1135.0,6.2,829.0,4.5,8139.0,44.1,4576.0,24.8,3775.0,20.5
1053,7608.0,7608.0,396.0,5.2,463.0,6.1,3844.0,50.5,1805.0,23.7,1100.0,14.5
1055,22467.0,22467.0,1031.0,4.6,1115.0,5.0,10319.0,45.9,5406.0,24.1,4596.0,20.5
1057,3637.0,3637.0,216.0,5.9,250.0,6.9,1568.0,43.1,849.0,23.3,754.0,20.7
1059,7283.0,7283.0,288.0,4.0,430.0,5.9,3478.0,47.8,1821.0,25.0,1266.0,17.4
1061,5557.0,5557.0,185.0,3.3,342.0,6.2,2810.0,50.6,1328.0,23.9,892.0,16.1
1063,1745.0,1745.0,73.0,4.2,103.0,5.9,843.0,48.3,420.0,24.1,306.0,17.5
1065,3543.0,3543.0,223.0,6.3,214.0,6.0,1349.0,38.1,999.0,28.2,758.0,21.4
1067,3444.0,3444.0,170.0,4.9,117.0,3.4,1649.0,47.9,856.0,24.9,652.0,18.9
1069,24782.0,24782.0,1229.0,5.0,1430.0,5.8,11318.0,45.7,5574.0,22.5,5231.0,21.1
1071,10081.0,10081.0,391.0,3.9,547.0,5.4,5135.0,50.9,2577.0,25.6,1431.0,14.2
1073,165142.0,165142.0,11619.0,7.0,9490.0,5.7,66305.0,40.2,33458.0,20.3,44270.0,26.8
1075,2966.0,2966.0,109.0,3.7,117.0,3.9,1615.0,54.5,675.0,22.8,450.0,15.2
1077,21734.0,21734.0,1100.0,5.1,982.0,4.5,8307.0,38.2,4074.0,18.7,7271.0,33.5
1079,7330.0,7330.0,239.0,3.3,436.0,5.9,3448.0,47.0,1688.0,23.0,1519.0,20.7
1081,55407.0,55407.0,2257.0,4.1,1976.0,3.6,15239.0,27.5,7363.0,13.3,28572.0,51.6
1083,22340.0,22340.0,873.0,3.9,959.0,4.3,9978.0,44.7,5570.0,24.9,4960.0,22.2
1085,2182.0,2182.0,187.0,8.6,118.0,5.4,1119.0,51.3,458.0,21.0,300.0,13.7
1087,5537.0,5537.0,281.0,5.1,149.0,2.7,1344.0,24.3,795.0,14.4,2968.0,53.6
1089,94773.0,94773.0,5066.0,5.3,4510.0,4.8,35097.0,37.0,18823.0,19.9,31277.0,33.0
1091,4639.0,4639.0,139.0,3.0,228.0,4.9,2336.0,50.4,1284.0,27.7,652.0,14.1
1093,6187.0,6187.0,341.0,5.5,300.0,4.8,3055.0,49.4,1425.0,23.0,1066.0,17.2
1095,22760.0,22760.0,1249.0,5.5,1058.0,4.6,11003.0,48.3,5405.0,23.7,4045.0,17.8
1097,101869.0,101869.0,6436.0,6.3,5064.0,5.0,43757.0,43.0,22722.0,22.3,23890.0,23.5
1099,4147.0,4147.0,188.0,4.5,200.0,4.8,2120.0,51.1,1118.0,27.0,521.0,12.6
1101,57872.0,57872.0,3082.0,5.3,3261.0,5.6,23899.0,41.3,11622.0,20.1,16008.0,27.7
1103,27538.0,27538.0,1681.0,6.1,1655.0,6.0,12378.0,44.9,6385.0,23.2,5439.0,19.8
