countyFIPS,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
1001,24124,24124,9336,38.7,3845,15.9,5331,22.1,1988,8.2,3624,15.0
1003,93379,93379,33923,36.3,16911,18.1,22509,24.1,9134,9.8,10902,11.7
1005,8720,8720,2261,25.9,1277,14.6,1729,19.8,1138,13.1,2315,26.5
1007,8099,8099,1775,21.9,1516,18.7,1531,18.9,1413,17.4,1864,23.0
1009,21346,21346,6385,29.9,2776,13.0,4569,21.4,3359,15.7,4257,19.9
1011,3940,3940,826,21.0,674,17.1,691,17.5,415,10.5,1334,33.9
1013,7885,7885,2123,26.9,1265,16.0,1515,19.2,914,11.6,2068,26.2
1015,48157,48157,13592,28.2,8116,16.9,11157,23.2,5034,10.5,10258,21.3
1017,14786,14786,3631,24.6,2360,16.0,2890,19.5,1474,10.0,4431,30.0
1019,9805,9805,2862,29.2,1200,12.2,1605,16.4,1277,13.0,2861,29.2
1021,17500,17500,4246,24.3,2332,13.3,3894,22.3,3183,18.2,3845,22.0
1023,4264,4264,993,23.3,692,16.2,893,20.9,731,17.1,955,22.4
1025,7647,7647,1767,23.1,1040,13.6,1560,20.4,1060,13.9,2220,29.0
1027,5542,5542,1265,22.8,749,13.5,858,15.5,678,12.2,1992,35.9
1029,5628,5628,1475,26.2,590,10.5,1266,22.5,935,16.6,1362,24.2
1031,21725,21725,7187,33.1,3594,16.5,4146,19.1,2759,12.7,4039,18.6
1033,22436,22436,6254,27.9,3341,14.9,5262,23.5,2513,11.2,5066,22.6
1035,3892,3892,566,14.5,749,19.2,899,23.1,453,11.6,1225,31.5
1037,4110,4110,851,20.7,758,18.4,1010,24.6,609,14.8,882,21.5
1039,14899,14899,4380,29.4,2082,14.0,3104,20.8,2389,16.0,2944,19.8
1041,5612,5612,1372,24.4,886,15.8,1320,23.5,760,13.5,1274,22.7
