countyFIPS,Estimate!!RELATIONSHIP!!Population in households,Percent Estimate!!RELATIONSHIP!!Population in households,Estimate!!RELATIONSHIP!!Population in households!!Householder,Percent Estimate!!RELATIONSHIP!!Population in households!!Householder,Estimate!!RELATIONSHIP!!Population in households!!Spouse,Percent Estimate!!RELATIONSHIP!!Population in households!!Spouse,Estimate!!RELATIONSHIP!!Population in households!!Child,Percent Estimate!!RELATIONSHIP!!Population in households!!Child,Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
1001,54654.0,54654.0,21115.0,38.6,11977.0,21.9,17162.0,31.4,2949.0,5.4,1451.0,2.7,538.0,1.0
1003,205093.0,205093.0,78622.0,38.3,41451.0,20.2,61098.0,29.8,14829.0,7.2,9093.0,4.4,3125.0,1.5
1005,22882.0,22882.0,9186.0,40.1,3887.0,17.0,6750.0,29.5,2413.0,10.5,646.0,2.8,286.0,1.2
1007,20436.0,20436.0,6840.0,33.5,3631.0,17.8,6461.0,31.6,2744.0,13.4,760.0,3.7,66.0,0.3
1009,57102.0,57102.0,20600.0,36.1,11890.0,20.8,17591.0,30.8,5488.0,9.6,1533.0,2.7,532.0,0.9
1011,9922.0,9922.0,3609.0,36.4,1406.0,14.2,3813.0,38.4,815.0,8.2,279.0,2.8,60.0,0.6
1013,19703.0,19703.0,6708.0,34.0,2975.0,15.1,6775.0,34.4,2166.0,11.0,1079.0,5.5,270.0,1.4
1015,111986.0,111986.0,45033.0,40.2,21539.0,19.2,30822.0,27.5,8622.0,7.7,5970.0,5.3,2742.0,2.4
1017,33314.0,33314.0,13516.0,40.6,5740.0,17.2,9007.0,27.0,3459.0,10.4,1592.0,4.8,729.0,2.2
1019,25579.0,25579.0,10606.0,41.5,6068.0,23.7,6506.0,25.4,1770.0,6.9,629.0,2.5,330.0,1.3
