countyFIPS,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
1001,41284.0,41284.0,5071.0,12.3
1003,162122.0,162122.0,19354.0,11.9
1005,20346.0,20346.0,1561.0,7.7
1007,17868.0,17868.0,1278.0,7.2
1009,44126.0,44126.0,3765.0,8.5
1011,8202.0,8202.0,356.0,4.3
1013,15447.0,15447.0,1174.0,7.6
1015,89609.0,89609.0,9549.0,10.7
1017,26808.0,26808.0,2209.0,8.2
1019,20567.0,20567.0,2086.0,10.1
1021,33283.0,33283.0,2699.0,8.1
1023,10425.0,10425.0,771.0,7.4
1025,18987.0,18987.0,1130.0,6.0
1027,10559.0,10559.0,788.0,7.5
1029,11478.0,11478.0,715.0,6.2
1031,37983.0,37983.0,6439.0,17.0
1033,42840.0,42840.0,3839.0,9.0
1035,9863.0,9863.0,776.0,7.9
1037,9005.0,9005.0,1059.0,11.8
1039,29140.0,29140.0,2902.0,10.0
1041,10702.0,10702.0,761.0,7.1
1043,63692.0,63692.0,5149.0,8.1
1045,35381.0,35381.0,6288.0,17.8
1047,30237.0,30237.0,2106.0,7.0
1049,53715.0,53715.0,3678.0,6.8
1051,62515.0,62515.0,6600.0,10.6
1053,29000.0,29000.0,2184.0,7.5
1055,80640.0,80640.0,7419.0,9.2
1057,13010.0,13010.0,1159.0,8.9
1059,23734.0,23734.0,1257.0,5.3
1061,20546.0,20546.0,2130.0,10.4
1063,6564.0,6564.0,427.0,6.5
1065,11362.0,11362.0,769.0,6.8
1067,13527.0,13527.0,1230.0,9.1
1069,79817.0,79817.0,7949.0,10.0
1071,40930.0,40930.0,2902.0,7.1
1073,507714.0,507714.0,37324.0,7.4
1075,10868.0,10868.0,770.0,7.1
1077,73987.0,73987.0,6198.0,8.4
1079,25920.0,25920.0,1578.0,6.1
1081,124411.0,124411.0,9958.0,8.0
1083,71546.0,71546.0,7115.0,9.9
1085,7906.0,7906.0,366.0,4.6
1087,15629.0,15629.0,1411.0,9.0
1089,277221.0,277221.0,32614.0,11.8
1091,15070.0,15070.0,974.0,6.5
1093,23627.0,23627.0,1515.0,6.4
1095,71460.0,71460.0,6127.0,8.6
1097,315558.0,315558.0,27976.0,8.9
1099,16592.0,16592.0,1472.0,8.9
1101,171528.0,171528.0,16259.0,9.5
1103,91703.0,91703.0,8135.0,8.9
1105,7410.0,7410.0,382.0,5.2
1107,16296.0,16296.0,1316.0,8.1
1109,26858.0,26858.0,1873.0,7.0
1111,17660.0,17660.0,1447.0,8.2
1113,42610.0,42610.0,5593.0,13.1
1115,67273.0,67273.0,6619.0,9.8
1117,160511.0,160511.0,12877.0,8.0
1119,10451.0,10451.0,590.0,5.6
1121,63172.0,63172.0,5124.0,8.1
1123,32062.0,32062.0,2898.0,9.0
1125,162914.0,162914.0,10454.0,6.4
1127,50114.0,50114.0,4016.0,8.0
1129,12940.0,12940.0,1050.0,8.1
1131,8142.0,8142.0,447.0,5.5
1133,18865.0,18865.0,1592.0,8.4
2013,2933.0,2933.0,127.0,4.3
2016,4727.0,4727.0,272.0,5.8
2020,214669.0,214669.0,28203.0,13.1
2050,11585.0,11585.0,647.0,5.6
2060,683.0,683.0,91.0,13.3
2068,1932.0,1932.0,119.0,6.2
2070,3439.0,3439.0,157.0,4.6
2090,69091.0,69091.0,11586.0,16.8
2100,1960.0,1960.0,135.0,6.9
2105,1797.0,1797.0,190.0,10.6
2110,25038.0,25038.0,2414.0,9.6
2122,44801.0,44801.0,5073.0,11.3
2130,10526.0,10526.0,1091.0,10.4
2150,9495.0,9495.0,1081.0,11.4
2158,4870.0,4870.0,227.0,4.7
2164,1002.0,1002.0,57.0,5.7
2170,74780.0,74780.0,10518.0,14.1
2180,6476.0,6476.0,446.0,6.9
2185,7212.0,7212.0,604.0,8.4
2188,5014.0,5014.0,297.0,5.9
2195,2511.0,2511.0,262.0,10.4
2198,4936.0,4936.0,546.0,11.1
2220,6716.0,6716.0,714.0,10.6
2230,876.0,876.0,68.0,7.8
2240,4882.0,4882.0,804.0,16.5
2261,6903.0,6903.0,1067.0,15.5
2275,1991.0,1991.0,269.0,13.5
2282,502.0,502.0,38.0,7.6
2290,3897.0,3897.0,349.0,9.0
4001,51690.0,51690.0,2902.0,5.6
4003,94780.0,94780.0,18278.0,19.3
4005,110450.0,110450.0,7209.0,6.5
4007,42551.0,42551.0,5381.0,12.6
4009,27546.0,27546.0,2058.0,7.5
4011,6865.0,6865.0,624.0,9.1
4012,17288.0,17288.0,2575.0,14.9
4013,3206767.0,3206767.0,253896.0,7.9
