id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!Under 5 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 5 years,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Percent Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Percent Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Percent Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Percent Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Percent Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Percent Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Percent Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Percent Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Percent Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Estimate!!SEX AND AGE!!Total population!!85 years and over,Percent Estimate!!SEX AND AGE!!Total population!!85 years and over,Estimate!!SEX AND AGE!!Total population!!Median age (years)
0500000US01103,"Morgan County, Alabama",119089,59216,49.7,59873,50.3,98.9,6941,5.8,8123,6.8,7325,6.2,7903,6.6,7421,6.2,13754,11.5,14793,12.4,15950,13.4,7894,6.6,8521,7.2,12050,10.1,5867,4.9,2547,2.1,40.7
0500000US06031,"Kings County, California",151366,83591,55.2,67775,44.8,123.3,10990,7.3,11819,7.8,11672,7.7,10792,7.1,11790,7.8,25319,16.7,21572,14.3,17598,11.6,8863,5.9,5538,3.7,8751,5.8,5250,3.5,1412,0.9,32
0500000US06053,"Monterey County, California",435594,221011,50.7,214583,49.3,103,30774,7.1,31438,7.2,33757,7.7,30063,6.9,31653,7.3,61898,14.2,57220,13.1,51007,11.7,24421,5.6,23872,5.5,34393,7.9,16735,3.8,8363,1.9,34.7
0500000US06057,"Nevada County, California",99696,48808,49,50888,51,95.9,3931,3.9,4439,4.5,6037,6.1,4260,4.3,3523,3.5,9913,9.9,11461,11.5,11607,11.6,7941,8,8838,8.9,17493,17.5,7101,7.1,3152,3.2,50.5
0500000US06089,"Shasta County, California",180040,88679,49.3,91361,50.7,97.1,9933,5.5,11842,6.6,10347,5.7,10511,5.8,10406,5.8,22402,12.4,20206,11.2,20670,11.5,12905,7.2,13791,7.7,21481,11.9,11594,6.4,3952,2.2,41.5
0500000US06115,"Yuba County, California",78041,39819,51,38222,49,104.2,5920,7.6,5294,6.8,6460,8.3,5556,7.1,5223,6.7,12263,15.7,9488,12.2,8455,10.8,4392,5.6,5607,7.2,5796,7.4,2558,3.3,1029,1.3,33.8
0500000US08035,"Douglas County, Colorado",342776,171478,50,171298,50,100.1,20193,5.9,23925,7,27069,7.9,25916,7.6,17236,5,38066,11.1,51438,15,55309,16.1,24119,7,19583,5.7,25884,7.6,10289,3,3749,1.1,39.1
0500000US09001,"Fairfield County, Connecticut",943823,459662,48.7,484161,51.3,94.9,51774,5.5,55583,5.9,65106,6.9,65626,7,59920,6.3,107630,11.4,117323,12.4,138237,14.6,69219,7.3,63581,6.7,82023,8.7,45911,4.9,21890,2.3,40.8
0500000US10001,"Kent County, Delaware",178550,85805,48.1,92745,51.9,92.5,10932,6.1,10379,5.8,12757,7.1,12428,7,11898,6.7,23990,13.4,20496,11.5,22390,12.5,12665,7.1,10803,6.1,17338,9.7,9494,5.3,2980,1.7,38.1
0500000US10003,"New Castle County, Delaware",559335,271116,48.5,288219,51.5,94.1,32177,5.8,31169,5.6,35953,6.4,36653,6.6,36356,6.5,81197,14.5,69112,12.4,74341,13.3,39316,7,35968,6.4,51061,9.1,25867,4.6,10165,1.8,38.4
0500000US12089,"Nassau County, Florida",85832,42698,49.7,43134,50.3,99,3833,4.5,4041,4.7,6258,7.3,4668,5.4,3182,3.7,9429,11,10496,12.2,11482,13.4,7477,8.7,6179,7.2,11571,13.5,6057,7.1,1159,1.4,46.1
0500000US12111,"St. Lucie County, Florida",321128,155903,48.5,165225,51.5,94.4,15994,5,17485,5.4,18644,5.8,16562,5.2,18376,5.7,35264,11,37508,11.7,38530,12,25087,7.8,20470,6.4,42687,13.3,26827,8.4,7694,2.4,45.2
0500000US12113,"Santa Rosa County, Florida",179349,91848,51.2,87501,48.8,105,10018,5.6,10671,5.9,11707,6.5,10594,5.9,10532,5.9,24393,13.6,23732,13.2,24097,13.4,10988,6.1,14201,7.9,17369,9.7,8933,5,2114,1.2,40
0500000US13013,"Barrow County, Georgia",80809,39917,49.4,40892,50.6,97.6,5177,6.4,5902,7.3,6164,7.6,5534,6.8,5039,6.2,11257,13.9,10802,13.4,11468,14.2,5240,6.5,3983,4.9,6657,8.2,2580,3.2,1006,1.2,36.3
0500000US13157,"Jackson County, Georgia",70422,34762,49.4,35660,50.6,97.5,4268,6.1,4690,6.7,4921,7,5587,7.9,3664,5.2,9107,12.9,9174,13,10669,15.2,4363,6.2,3735,5.3,5979,8.5,3064,4.4,1201,1.7,38.3
0500000US13185,"Lowndes County, Georgia",116321,55535,47.7,60786,52.3,91.4,8205,7.1,8562,7.4,6861,5.9,9919,8.5,14383,12.4,16707,14.4,13059,11.2,12484,10.7,5730,4.9,5881,5.1,8651,7.4,4296,3.7,1583,1.4,30.8
0500000US13245,"Richmond County, Georgia",201554,96104,47.7,105450,52.3,91.1,13080,6.5,12043,6,13174,6.5,14714,7.3,15988,7.9,32995,16.4,24129,12,22214,11,10871,5.4,14198,7,17357,8.6,8014,4,2777,1.4,34.4
0500000US13285,"Troup County, Georgia",70034,32962,47.1,37072,52.9,88.9,4402,6.3,3367,4.8,6284,9,5207,7.4,6264,8.9,8354,11.9,9144,13.1,8207,11.7,4033,5.8,4707,6.7,6009,8.6,3000,4.3,1056,1.5,36.4
0500000US13295,"Walker County, Georgia",69410,34967,50.4,34443,49.6,101.5,3992,5.8,4566,6.6,3762,5.4,4539,6.5,4247,6.1,7927,11.4,8334,12,9075,13.1,5111,7.4,4764,6.9,7325,10.6,4541,6.5,1227,1.8,42.5
0500000US17001,"Adams County, Illinois",65691,32661,49.7,33030,50.3,98.9,4421,6.7,4137,6.3,4268,6.5,3338,5.1,3452,5.3,8430,12.8,7437,11.3,7655,11.7,5229,8,4027,6.1,6908,10.5,4522,6.9,1867,2.8,41.5
0500000US17037,"DeKalb County, Illinois",104143,50903,48.9,53240,51.1,95.6,5797,5.6,5159,5,7947,7.6,8932,8.6,13899,13.3,15183,14.6,11415,11,10949,10.5,5912,5.7,5645,5.4,7777,7.5,3988,3.8,1540,1.5,30.9
0500000US17163,"St. Clair County, Illinois",261059,126952,48.6,134107,51.4,94.7,16231,6.2,14791,5.7,19778,7.6,16214,6.2,14880,5.7,34925,13.4,33096,12.7,33438,12.8,17644,6.8,19109,7.3,23697,9.1,12563,4.8,4693,1.8,39.6
0500000US17199,"Williamson County, Illinois",67056,33990,50.7,33066,49.3,102.8,4161,6.2,4586,6.8,4013,6,3422,5.1,2928,4.4,8675,12.9,8398,12.5,9035,13.5,3554,5.3,5722,8.5,7234,10.8,4104,6.1,1224,1.8,40.9
0500000US18035,"Delaware County, Indiana",114772,55362,48.2,59410,51.8,93.2,6026,5.3,6892,6,4751,4.1,10102,8.8,16240,14.1,13320,11.6,10916,9.5,12943,11.3,7070,6.2,6581,5.7,11005,9.6,5741,5,3185,2.8,35
0500000US18063,"Hendricks County, Indiana",167009,83439,50,83570,50,99.8,10008,6,13390,8,10511,6.3,11424,6.8,9077,5.4,20258,12.1,25560,15.3,23549,14.1,9321,5.6,10994,6.6,13788,8.3,7245,4.3,1884,1.1,38.2
0500000US18091,"LaPorte County, Indiana",110007,58196,52.9,51811,47.1,112.3,6504,5.9,6753,6.1,6391,5.8,6217,5.7,6326,5.8,14433,13.1,13989,12.7,14285,13,8349,7.6,7084,6.4,11942,10.9,5791,5.3,1943,1.8,40.4
0500000US18095,"Madison County, Indiana",129641,64211,49.5,65430,50.5,98.1,7304,5.6,7250,5.6,8796,6.8,8006,6.2,7917,6.1,16842,13,15393,11.9,17100,13.2,8605,6.6,8790,6.8,13697,10.6,7050,5.4,2891,2.2,40.2
0500000US19061,"Dubuque County, Iowa",96854,47876,49.4,48978,50.6,97.8,7093,7.3,5373,5.5,5467,5.6,6943,7.2,6622,6.8,12606,13,10467,10.8,11123,11.5,7300,7.5,6419,6.6,9518,9.8,5252,5.4,2671,2.8,38.4
0500000US19155,"Pottawattamie County, Iowa",93533,45715,48.9,47818,51.1,95.6,5522,5.9,5786,6.2,6846,7.3,6070,6.5,5974,6.4,11004,11.8,11313,12.1,11008,11.8,6866,7.3,6700,7.2,9537,10.2,4822,5.2,2085,2.2,39.3
0500000US20091,"Johnson County, Kansas",597555,294084,49.2,303471,50.8,96.9,37788,6.3,39684,6.6,42710,7.1,38265,6.4,34568,5.8,81708,13.7,83718,14,77791,13,38101,6.4,36698,6.1,52636,8.8,22772,3.8,11116,1.9,37.8
0500000US21117,"Kenton County, Kentucky",166051,81777,49.2,84274,50.8,97,11650,7,13188,7.9,8924,5.4,9716,5.9,10208,6.1,25071,15.1,21064,12.7,20021,12.1,11905,7.2,10276,6.2,14905,9,6636,4,2487,1.5,36.2
0500000US21227,"Warren County, Kentucky",131264,64686,49.3,66578,50.7,97.2,8051,6.1,7605,5.8,9503,7.2,12145,9.3,13299,10.1,17980,13.7,15343,11.7,15486,11.8,7953,6.1,6537,5,10748,8.2,4963,3.8,1651,1.3,33
0500000US22055,"Lafayette Parish, Louisiana",242782,117790,48.5,124992,51.5,94.2,16857,6.9,16181,6.7,15041,6.2,16844,6.9,17005,7,37160,15.3,32162,13.2,29349,12.1,17165,7.1,13154,5.4,19487,8,8983,3.7,3394,1.4,35.4
0500000US24017,"Charles County, Maryland",161503,77505,48,83998,52,92.3,9703,6,10969,6.8,10224,6.3,11161,6.9,11026,6.8,20860,12.9,20140,12.5,25704,15.9,10755,6.7,11044,6.8,12206,7.6,5389,3.3,2322,1.4,38.2
0500000US24021,"Frederick County, Maryland",255648,126543,49.5,129105,50.5,98,15098,5.9,16857,6.6,16653,6.5,17478,6.8,15266,6,32605,12.8,33575,13.1,36628,14.3,17546,6.9,17122,6.7,22016,8.6,10175,4,4629,1.8,39.1
0500000US24033,"Prince George's County, Maryland",909308,437625,48.1,471683,51.9,92.8,59540,6.5,54858,6,56125,6.2,57990,6.4,61596,6.8,132468,14.6,122060,13.4,126065,13.9,64956,7.1,53025,5.8,75705,8.3,32980,3.6,11940,1.3,37.4
0500000US25017,"Middlesex County, Massachusetts",1614714,790337,48.9,824377,51.1,95.9,85643,5.3,88292,5.5,88462,5.5,102800,6.4,114506,7.1,251457,15.6,211815,13.1,216837,13.4,110101,6.8,98741,6.1,139129,8.6,72937,4.5,33994,2.1,38.4
0500000US25025,"Suffolk County, Massachusetts",807252,390462,48.4,416790,51.6,93.7,41775,5.2,35981,4.5,34328,4.3,54446,6.7,77678,9.6,188770,23.4,104403,12.9,89156,11,44039,5.5,39724,4.9,56509,7,28760,3.6,11683,1.4,32.9
0500000US26045,"Eaton County, Michigan",109826,54390,49.5,55436,50.5,98.1,5539,5,6001,5.5,6990,6.4,6680,6.1,6798,6.2,13962,12.7,13824,12.6,13779,12.5,7032,6.4,8941,8.1,12199,11.1,6171,5.6,1910,1.7,40.8
0500000US26055,"Grand Traverse County, Michigan",92573,46141,49.8,46432,50.2,99.4,4617,5,4719,5.1,6282,6.8,5290,5.7,4531,4.9,11662,12.6,10943,11.8,11873,12.8,7408,8,6870,7.4,11168,12.1,4526,4.9,2684,2.9,42.6
0500000US26075,"Jackson County, Michigan",158823,81049,51,77774,49,104.2,8921,5.6,7963,5,10458,6.6,10689,6.7,9664,6.1,20188,12.7,18573,11.7,21102,13.3,11699,7.4,11019,6.9,16937,10.7,8341,5.3,3269,2.1,41.5
0500000US26077,"Kalamazoo County, Michigan",264870,130970,49.4,133900,50.6,97.8,15602,5.9,15255,5.8,17203,6.5,18559,7,31953,12.1,35704,13.5,30912,11.7,28859,10.9,15220,5.7,15775,6,23674,8.9,11729,4.4,4425,1.7,34.5
